,EV1,EV2,EV3,EV4,EV5
PI653616,0.008367779,0.037710139,0.015953204,0.024573613,0.047092022
PI656026,-0.074540093,0.051482971,0.119995522,0.044804959,0.073079823
PI656035,-0.028845859,0.022471893,-0.012529723,0.001748523,0.011866422
PI656065,-0.023950916,-0.03760551,0.031084092,-0.002170029,-0.101057921
PI534155,0.010305276,-0.09914515,-0.077784798,0.008072949,0.064753773
PI642998,0.022180583,-0.070413354,0.021884823,0.008137328,0.100124572
PI533921,-0.012109749,-0.061237027,0.034134834,-0.007770047,-0.035211504
PI533987,-0.033186566,0.002864497,0.025063569,-0.018247069,-0.034306291
PI562730,0.010224385,-0.071346665,-0.050703889,-0.012330816,0.111967216
PI576349,0.016950436,-0.051811877,-0.047913968,-0.024417835,0.103753524
PI656083,-0.000127212,0.021853594,0.002303928,-0.022519467,-0.025127899
PI659694,-0.042381526,0.039662056,-0.095308612,0.016714592,-0.034372569
PI533838,-0.003558879,0.001176868,-0.02015685,-0.023463724,-0.047783156
PI533972,-0.077417745,0.04842122,-0.060621832,0.009375139,0.009182183
PI565121,-0.091314534,0.040044354,0.071760894,0.0250446,0.051435117
PI655972,0.094651434,0.071530543,-0.013125643,0.009034837,0.036870066
PI659753,0.027472844,-0.061333668,0.031126488,0.068991403,0.031493111
PI534157,-0.080724982,0.045642438,0.112104228,0.035873123,0.067817314
PI542718,0.02247098,-0.068166227,0.045476371,0.051783814,0.039665344
PI561072,0.066863308,0.046634117,0.03852939,-0.022735437,-0.034626142
PI595699,0.021185467,-0.048543847,0.045911994,0.068355161,0.048697021
PI595741,0.048273683,0.011575779,0.000324313,-0.053362156,0.040030831
PI17548,0.062081565,0.017701252,0.001817344,0.021267929,0.06883361
PI24969,0.005649375,-0.091289515,0.060902747,0.044491581,-0.090149023
PI533855,0.045349742,0.015062001,-0.038497532,-0.0297026,0.027351392
PI533991,-0.031102548,0.033198315,-0.021506408,0.048323622,-0.014099243
PI659691,-0.093046854,0.042672449,0.070556303,0.033699757,0.037622327
PI659695,0.006360051,-0.110778874,-0.087383382,0.041792344,0.010805287
PI659696,-0.032691845,0.012554502,-0.070830506,0.034035682,-0.05738152
