,EV1,EV2,EV3,EV4,EV5
PI534028,0.028238005,-0.0754243,-0.041385927,0.074126935,0.038674919
PI534037,0.04647775,0.003028114,-0.043823136,-0.091022514,0.01347399
PI534053,-0.035304364,-0.037699416,-0.03348053,-0.006689999,-0.078569116
PI534054,0.069801439,0.046382931,-0.037590018,-0.04897155,0.038283213
PI534063,0.005299497,-0.017702018,0.070269593,-0.121014059,0.006129023
PI534070,0.005438691,-0.012980647,0.059607651,-0.147758738,-0.006372662
PI534075,0.008438801,-0.026672592,0.063136943,-0.114727544,-0.020751926
PI534079,-0.03137205,-0.001289817,-0.029823141,-0.029779899,0.008118152
PI534088,0.007255917,-0.026669739,0.055111934,-0.152900414,-0.037787575
PI534092,0.004366562,-0.018813603,0.00333721,-0.136454605,-0.040018367
PI534096,0.030094353,-0.023935653,-0.0211883,-0.124753925,0.170710035
PI534097,0.101657009,0.038651288,-0.023258767,0.01439135,0.054478331
PI534099,-0.075459455,0.040993441,-0.075900759,-0.001970138,-0.051332392
PI534101,-0.048833379,0.015770053,-0.002491552,-0.023640953,-0.034947522
PI534105,-0.060677603,0.052975018,-0.067635081,-0.003263027,-0.022469731
PI534108,-0.051659514,0.040234816,-0.053223005,0.014938878,-0.01449145
PI534112,-0.073763073,0.049448856,-0.08013001,0.007631975,-0.015308642
PI534114,-0.066042487,0.049792128,-0.092554645,0.002539491,-0.024744185
PI534115,-0.094763015,0.03549834,0.077075654,0.025601029,0.045874623
PI534116,0.033088126,-0.014973082,-0.00458951,0.000296945,0.041267917
PI534117,0.015459923,-0.010302755,-0.052245053,-0.061024359,0.063298707
PI534123,0.012337758,-0.060957905,-0.040166016,-0.016670194,0.090884789
PI534124,0.015788839,-0.05578638,-0.043367768,-0.021148592,0.130942642
PI534127,0.034516438,-0.047550181,-0.007419688,0.045790749,0.02118639
PI534128,0.033482832,-0.058236,0.004655305,0.062437973,-0.009202054
PI534132,0.024061853,-0.051361485,0.011694973,0.054853281,0.028787198
PI534133,0.015727727,-0.07707399,-0.014044422,0.049619069,0.036280208
PI534135,0.017052095,-0.09157936,-0.022423373,0.04554389,0.058524889
PI534137,-0.015067759,-0.003458632,-0.015208631,-0.001539182,0.025207542
PI534144,0.00173005,-0.014403677,0.011410513,-0.041234453,-0.004809496
PI534145,0.00670046,-0.030192518,0.043691487,-0.148930357,0.002277676
PI534148,0.012276384,-0.085683305,-0.032455766,0.050971527,0.051368587
PI534163,-0.021028459,0.056311883,-0.051999131,0.021218824,0.034191099
PI534167,0.010061511,-0.059962063,-0.029991962,0.023584172,-0.044462333
PI542406,-0.042228946,0.010019097,-0.058077846,-0.002380639,-0.012607389
PI548797,-0.053446668,0.028569695,-0.07522953,0.014225319,-0.042344046
PI552856,0.002267057,0.057198444,0.039394376,0.037101689,-0.003710331
PI561071,-0.011614526,-0.013677143,0.075145666,-0.011101834,-0.049282946
PI561073,0.005901631,0.059764087,-0.05544578,0.010835702,-0.01646709
PI561472,-0.062783227,0.042994434,-0.034098654,0.033744587,0.023595751
PI564164,-0.012890927,-0.024050203,0.077168112,0.029795842,-0.02554839
PI564165,-0.050797347,-0.010578422,0.109164666,0.062995083,0.018246372
PI576130,-0.073136849,0.027750822,0.051632931,0.013961589,0.029359787
PI576332,0.096653471,0.055747224,-0.001266232,0.021600448,-0.001115315
PI576333,0.104367919,0.076292951,-0.009165257,0.014998056,-0.024810672
PI576339,0.104415237,0.071013604,-0.020912378,0.004883733,0.037254595
PI576340,0.101990522,0.076053071,0.001278639,0.021835285,0.001697623
PI576345,0.068344028,0.042280873,0.030288579,0.000274725,0.012901855
PI576347,-0.006230676,-0.005457994,-0.041785676,-0.017087507,0.036182596
PI576350,0.026125176,-0.013253336,-0.043991429,-0.00690278,0.052132776
PI576352,0.085680695,0.061662628,-0.007582864,0.004840164,0.044355318
PI576359,0.020768188,-0.067291489,0.008219079,0.031339219,0.02153901
PI576364,0.090480682,0.052373925,-0.012225663,0.009439097,0.021019391
PI576373,0.044412799,0.019631984,-0.043696352,0.02726245,-0.117068385
PI576375,0.026854532,-0.055087821,-0.004008488,0.035006233,-0.033498954
PI576376,0.006299599,-0.1030004,-0.060762046,0.032010929,0.004950933
PI576380,-0.08774736,0.031678438,0.073883584,0.019998281,0.036300026
PI576381,0.030504869,-0.079969148,-0.046177084,0.054525851,-0.04718502
PI576385,0.051304206,0.034664468,0.020816224,-0.028840619,-0.029222092
PI576386,-0.044144928,0.030317962,-0.039934596,0.007824328,0.01284919
PI576387,-0.069001429,0.034184971,-0.048013013,0.034462623,0.012081525
PI576390,0.021564202,-0.057916072,0.036456903,0.023535936,0.000765695
PI576391,0.022986874,-0.077934115,0.030408517,0.053221999,0.033687745
PI576393,-0.034786762,0.022221276,-0.056146329,-0.008379195,-0.001784783
PI576394,0.092045912,0.055951014,-0.002341858,0.031423871,-0.021691131
PI576418,-0.012201763,-0.030480838,0.055192569,-0.143292516,0.001400246
PI576422,0.108435981,0.078979373,-0.013127666,0.013382055,-0.012035181
