"Class","Species","Control_Percentage","LowInput_Percentage"
"AEG","AEG(o-32:3)",23.2,35
"AEG","AEG(o-34:4)",24.9,25.5
"AEG","AEG(o-34:5)",26.9,21.2
"AEG","AEG(o-32:2)",16.4,16.7
"AEG","AEG(o-36:6)",1.7,1
"AEG","AEG(o-30:2)",0.1,0.6
"DG","DG(18:3)",58,55.1
"DG","DG(24:0)",6.5,6.1
"DG","DG(34:3)",3.3,8
"DG","DG(20:1)",0.6,9.6
"DG","DG(34:2)",5.3,4.9
"DG","DG(34:1)",5.4,4.3
"DG","DG(36:4)",5.1,4
"DG","DG(36:6)",3.8,4.6
"DG","DG(36:5)",1.9,2
"DG","DG(32:0)",1.5,NA
"DG","DG(36:3)",0.5,0.8
"DG","DG(18:0)",0.6,NA
"DG","DG(36:0)",0.5,NA
"DG","DG(36:2)",0.2,0.2
"DG","DG(34:4)",0.1,0.1
"DG","DG(16:0)",NA,0.1
"DG","DG(34:0)",0,NA
"DG","DG(38:3)",NA,0
"DGDG","DGDG(36:6)",59.6,65.4
"DGDG","DGDG(34:3)",25.7,24.2
"DGDG","DGDG(36:3)",3.7,5.5
"DGDG","DGDG(34:2)",2,2.2
"DGDG","DGDG(36:5)",1,1.4
"DGDG","DGDG(34:1)",0.8,0.8
"DGDG","DGDG(36:2)",0.4,0.5
"LPC","LPC(16:0)",56.5,70.1
"LPC","LPC(18:3)",36.6,29.9
"LPE","LPE(16:0)",93.2,100
"MG","MG(18:3)",48.3,58.1
"MG","MG(18:1)",15,18.3
"MG","MG(12:0)",11.5,14.6
"MG","MG(16:0)",8.3,6.8
"MG","MG(18:0)",5.8,NA
"MG","MG(18:2)",3.2,2
"MG","MG(16:1)",1,NA
"MG","MG(20:4)",0,0.2
"MGDG","MGDG(36:6)",81.4,89.3
"MGDG","MGDG(34:3)",5.1,4.2
"MGDG","MGDG(36:5)",4.7,4.5
"MGDG","MGDG(36:4)",1.9,2
"MGDG","MGDG(34:1)",0,0
"PA","PA(34:2)",93.2,100
"PC","PC(34:2)",35.4,28.3
"PC","PC(34:0)",13.7,20
"PC","PC(34:3)",8.4,16.6
"PC","PC(34:1)",13.2,7.5
"PC","PC(36:5)",7.3,11.4
"PC","PC(36:4)",6.5,4
"PC","PC(36:2)",2.8,2.6
"PC","PC(36:3)",3.1,2
"PC","PC(36:6)",1.5,1.9
"PC","PC(18:3)",0,2.5
"PC","PC(32:0)",0.4,1
"PC","PC(36:1)",NA,0.8
"PC","PC(32:2)",0.1,0.2
"PC","PC(33:3)",NA,0.3
"PC","PC(18:2)",0.1,0.1
"PC","PC(32:3)",0,0.2
"PC","PC(33:2)",NA,0.2
"PC","PC(38:2)",0.2,0
"PC","PC(38:6)",0.1,0.1
"PC","PC(35:3)",NA,0.1
"PC","PC(38:3)",0.1,0
"PC","PC(38:5)",0.1,0
"PC","PC(42:2)",0.1,0
"PC","PC(32:1)",0,NA
"PC","PC(34:4)",0,NA
"PC","PC(38:4)",0,0
"PC","PC(40:2)",0,NA
"PC","PC(42:1)",0,NA
"PC","PC(44:2)",0,NA
"PE","PE(34:2)",46.7,45.7
"PE","PE(36:4)",19,16.8
