Compound_Name,(-)-Caryophyllene oxide,.alpha.-Amyrin,.beta.-Cryptoxanthin,.beta.-Sitosterol,"4,4-Dimethylcholest-8(9),24-dien-3.beta.-ol","8'-Apo-.beta.-carotenal, all-trans-",AEG(o-30:2),AEG(o-32:2),AEG(o-34:4),AEG(o-34:5),AEG(o-36:6),Antheraxanthin,Cer(24:1),Cycloartenol acetate,DG(16:0),DG(18:3),DG(20:1),DG(24:0),DG(34:1),DG(34:2),DG(34:3),DG(34:4),DG(36:2),DG(36:3),DG(36:4),DG(36:5),DG(36:6),DG(38:3),DGDG(34:1),DGDG(34:2),DGDG(34:3),DGDG(36:2),DGDG(36:3),DGDG(36:5),DGDG(36:6),DGTS(34:5),Diadinochrome,Fucosterol,GalCer(d36:3),GalCer(d38:3),Ginsenoside F1,L-alpha-phosphatidyl choline,LPC(16:0),LPC(18:3),LPE(16:0),Lanosterol,Lupeol,Lutein,Lycopene,MG(12:0),MG(16:0),MG(18:1),MG(18:2),MG(18:3),MG(20:4),MGDG(34:1),MGDG(34:3),MGDG(36:4),MGDG(36:5),MGDG(36:6),"NCGC00380867-01_C27H46O9_9,12,15-Octadecatrienoic acid, 3-(hexopyranosyloxy)-2-hydroxypropyl ester,(9Z,12Z,15Z)-",Nostoxanthin,PA(34:2),PC(18:2),PC(18:3),PC(32:0),PC(32:2),PC(32:3),PC(33:2),PC(33:3),PC(34:0),PC(34:1),PC(34:2),PC(34:3),PC(35:3),PC(36:1),PC(36:2),PC(36:3),PC(36:4),PC(36:5),PC(36:6),PC(38:2),PC(38:3),PC(38:5),PC(38:6),PC(42:2),PE(16:0),PE(18:2),PE(24:0),PE(34:0),PE(34:1),PE(34:2),PE(34:3),PE(36:2),PE(36:3),PE(36:4),PE(36:5),PE(36:6),PG(16:0),PG(34:1),PS(36:2),Palmitoyl ethanolamide,Panaxatriol,Phytosphingosine,SQDG(30:0),SQDG(32:0),SQDG(34:1),SQDG(34:2),SQDG(34:3),SQDG(34:4),SQDG(36:3),SQDG(36:4),SQDG(36:5),SQDG(36:6),Stearoyl ethanolamide,Sumaresinolic acid,TG(24:0),TG(28:0),TG(30:0),TG(34:0),TG(36:0),TG(38:0),TG(40:0),TG(42:0),TG(42:1),TG(44:0),TG(44:1),TG(46:0),TG(46:1),TG(46:2),TG(46:3),TG(48:0),TG(48:1),TG(48:2),TG(48:3),TG(48:4),TG(48:5),TG(50:1),TG(50:2),TG(50:3),TG(50:4),TG(50:5),TG(50:6),TG(52:1),TG(52:2),TG(52:3),TG(52:4),TG(52:5),TG(52:6),TG(52:7),TG(54:1),TG(54:2),TG(54:3),TG(54:4),TG(54:5),TG(54:6),TG(54:7),TG(54:8),TG(54:9),TG(56:1),TG(56:2),TG(56:3),TG(56:4),TG(56:5),TG(56:6),TG(56:8),TG(56:9),TG(58:1),TG(58:2),TG(58:3),TG(58:4),TG(58:5),TG(58:6),TG(60:4),TG(60:5),TG(60:6),Ubidecarenone,Ubiquinone 9,Vitamin K1,Zeaxanthin,alpha-Tocopherol,beta-Carotene,beta-Zeacarotene,gamma-sitosterol,gibberellic acid,FA(18:4),FA(22:0) amide,FA(22:1),FA(22:1) amide,Oxo fatty acid (18:3),Hydroperoxy fatty acid (18:3),"(10E,15E)-9,12,13-trihydroxyoctadeca-10,15-dienoic acid"
PI533970,80746.18229,1247826.095,874749.2121,1092909.107,107790.527,17896.16736,85797.11567,744300.5087,1185422.942,1091814.98,62122.72904,887825.294,20392.55757,984431.3119,153.556814,24271093.28,4064230.874,2536557.414,1974397.078,1671180.576,2918816.617,30867.26929,71835.0677,352288.8777,1333081.789,752260.4275,1725503.107,7424.535052,420306.0195,1155423.321,12775764.38,276985.1154,2905504.826,705079.3661,40260459.88,2376.307135,699487.8517,175438.5927,432594.1973,323139.2382,32293.89317,500521.715,276905.1148,121822.2442,20783.24883,1568074.511,1305639.089,1461147.613,2095660.615,731181.7014,286968.2004,857864.2048,78953.05354,2905471.708,4759.459759,38598.37569,5001319.821,2796685.236,5550863.669,129956569.6,189775.5977,1750615.427,155480.0899,68478.25491,3196240.624,1222147,247837.6363,261875.9977,234093.8861,539908.9801,27441434.78,12885775.2,38489806.04,23357720.13,146657.2051,1372409.478,3100697.962,2872778.005,4282608.617,21520389.5,2317889.316,73371.67593,61018.65981,70725.11859,243079.5042,33646.81097,10391.62497,10993.00357,286071.3644,76737.84611,2809567.2,16618944.83,4418983.715,1084477.819,514147.7638,5458359.81,2494496.027,200162.8117,540340.1252,1040783.565,35365.34984,52848.93976,65918.29573,238093.5664,14624.87227,1381207.517,32885.76663,165615.7644,3786834.747,17616.66994,260081.6571,105828.7433,268149.2128,1832337.55,3405.778808,7866.148667,47813.93532,20653.28856,30959.75765,145316.0694,734853.1982,275739.2852,101956.7776,195974.6885,15123.92159,50753.90042,44489.72444,93707.72438,123815.2372,58222.82373,2490.191083,137176.7252,227825.0169,230268.8255,13605.28677,2115.951337,6582.597226,313476.6296,358146.2861,131879.7301,19453.03384,8373.798095,7259.925273,92318.76677,443084.6557,624844.6934,805133.4758,979013.1723,931966.9387,20847.99505,41296.84945,308514.7493,905119.6776,1542925.715,2549632.644,1557924.794,5831792.233,3433436.672,1903527.775,130129.3371,34485.7861,18260.64007,49682.74916,20616.99103,160812.6389,21428.60732,11709.60497,6454.830531,26136.67318,10212.01084,8974.864818,2214.479046,2074.603207,6018.402941,5186.062669,3802.009367,98109.12539,352851.9639,160237.1094,2249376.432,1297917.246,10320240.39,787310.5962,41235.84494,99094.91068,140132.2012,2544.267858,20236.37546,598270.1704,253753.6804,86661.07924,42955.06969
PI534148,42533.2218,1194900.201,1210007.343,518394.3241,45088.69956,41817.41492,10627.52051,924329.2869,1168747.687,959432.3542,50159.71279,604930.8525,20518.99447,708181.7495,4011.468151,22095095.12,4018241.625,2517320.146,2170903.643,2876316.455,2853057.526,53556.43605,117158.7805,451086.2285,2544049.942,745322.0137,1289815.961,8388.208384,778643.1106,1887142.596,13807574.03,527106.0263,2934488.033,985824.6461,34265902.55,2524.841563,564127.1453,98776.49667,433454.0484,366097.857,58469.73643,234336.5089,501286.2701,60371.65329,79738.28511,1174965.295,1164860.482,1041937.997,973518.4312,714040.4564,415349.8869,902311.409,134266.4249,2668537.521,4491.515991,60174.60858,7209538.525,5089503.741,8868733.272,117132511.7,190469.7753,1942880.223,111060.7971,113800.7041,1362544.777,935761.1094,296390.6954,134108.6382,227088.2589,211865.9064,23139147.15,7338409.538,32853787.9,12003447.52,99759.7358,611173.4298,3288317.649,1748414.755,4662626.256,7319566.006,1026688.305,14404.75095,48825.15794,38379.19583,268934.8102,95237.36482,39869.14221,26466.75973,265523.5043,78546.37961,2572318.267,13717876.94,3008238.565,914219.2233,312045.665,4483679.879,1214283.808,87339.92819,541755.4973,1150146.979,30764.23334,49559.16211,139933.4479,175185.0099,14714.97237,1239924.177,49815.36763,227569.4146,3138175.244,24695.50996,207023.2642,112914.4606,270798.8242,1707097.728,4267.35915,30811.33203,38554.53458,22648.26728,9215.290186,31452.45379,236531.9146,83768.43578,37860.3207,66662.03425,5716.474276,16123.45062,15712.21096,57339.55017,71003.99611,35835.1734,2079.604727,93203.39197,93506.35017,50967.63422,6071.053755,1581.050195,4562.730803,144899.1877,321837.9517,138987.7805,13941.20373,8112.164505,3225.65788,52572.11151,251941.7362,684377.3281,1159532.234,1150423.523,692848.762,10782.5126,21245.23623,134807.0456,402841.3093,1063617.339,2222438.124,1706326.076,4591425.454,1849427.176,915408.3261,46051.13632,14952.17369,13578.89931,56428.5442,35748.03622,176927.302,17901.60694,5015.850141,5044.872999,15924.71863,8559.403102,9594.734888,4806.593951,2256.291606,11720.16695,8285.075,4178.14131,73211.20593,234345.547,141352.2461,1533956.875,215970.535,9346433.504,510039.7945,19947.15901,106008.0366,214936.832,2729.554201,58926.06166,2096865.479,849443.9427,366704.2632,166009.6696
PI642992,46987.93396,921401.3005,1022207.539,930280.934,84550.66947,30821.78355,12598.79478,720856.091,1048783.648,1133706.068,99859.67923,960669.7912,20765.44087,501831.4926,51.18560467,24895839.49,4503750.338,2763804.194,1959686.453,1497654.967,2057683.707,43275.34653,62512.6191,342231.3052,1538776.451,776926.2974,1546628.1,9663.832188,607313.1639,1290766.408,13125949.83,295325.1629,2773394.25,744482.9556,38763855.12,2058.00668,689282.9852,145621.9997,398108.5119,328017.094,32406.03188,416424.432,230084.1179,56567.26568,26972.91423,882053.1202,950703.3973,1215002.784,1831066.182,748996.1976,278452.0851,996210.8394,75367.21125,2922762.317,3283.699616,44362.0118,5712825.08,2997704.467,6223000.034,137520973.4,141617.3475,2474215.978,56069.46838,61699.75795,2998055.127,1251492.886,293291.648,161655.1453,237211.8566,299760.9062,20201734.78,9298673.648,28350907.98,17691844.1,125562.6247,1249782.318,3640968.029,2399928.801,6592304.153,14831338.26,2160470.309,18168.17021,51588.22306,50223.01772,455210.9858,30980.98755,13486.45978,11724.65059,287884.5817,86779.69058,3450529.505,14720923.65,4417758.547,1140186.866,454461.4177,6117793.586,2120764.157,132392.5771,555055.0634,889719.6019,25335.73729,41910.29149,73454.17701,167942.53,16357.82928,1419989.38,43270.82378,168298.7844,3456423.419,21145.18944,229210.9668,97555.97891,263212.005,1935828.227,3701.319658,8495.878433,417.8526633,14.07325946,559.2266533,15078.35568,135219.8692,27613.7298,25260.80322,49654.79376,2204.704246,13710.49525,22103.96153,62394.3077,51296.72879,20218.77581,1547.193925,118204.3288,37253.87033,6571.988276,4985.656323,1257.546,4268.500023,181408.3914,207020.2475,71282.82462,8118.861798,5478.06219,2716.639736,68398.38234,268953.2882,480799.5644,746283.0895,918688.8653,716002.0826,15838.69306,15641.43327,85977.69,228151.1032,872386.2229,2049563.565,1788999.214,6258522.14,2691126.744,1239538.718,21326.2361,5753.36889,3592.741525,16796.28609,26078.16792,175591.7964,19900.24467,6895.04056,1662.003029,2787.987333,1260.654182,1817.969123,1618.683704,2819.87537,2739.21053,2780.458372,2064.516045,92681.60866,264930.4555,143907.8629,1858114.833,306849.2919,8836707.211,702305.5537,38693.61601,113556.2135,194426.5556,2953.681365,23562.64733,716448.0362,329212.3857,116910.3009,55327.94973
PI35038,30638.19704,704706.2969,695831.3683,534941.772,43814.74773,26558.93905,10868.05889,498332.8262,804845.9662,695877.9904,11483.6794,461817.3856,20775.34018,416134.9098,133946.6184,16868020.08,4095714.823,2439493.542,1281522.884,1335036.961,2029993.971,28050.38376,58181.57655,229999.7501,1184452.292,527014.6072,1118908.999,3119.406432,297000.0423,810140.4194,9162007.833,170473.2623,1843394.375,494904.469,27518943.55,5754.300013,441055.4436,73074.40287,241088.6013,210116.0757,73606.71541,285780.1886,251361.5884,71557.53845,28099.63074,727704.6744,740882.5301,915139.4795,1344523.238,555333.4276,203021.3695,890225.767,56386.32208,2010990.543,5733.124508,21072.1412,4231325.066,1788180.428,4085986.789,93474916.05,108817.4071,1329305.482,64277.53427,53486.42487,2521756.494,819277.177,131733.2683,112435.7725,147277.1359,247337.9441,18536521.87,6102510.18,25961135.98,15596002.49,93700.35765,1120613.232,2236516.289,1793363.513,4034591.817,12812580.46,1936757.369,15604.30516,26841.92994,46239.53671,127106.5599,43635.55303,14049.81585,10168.9642,204025.6877,68895.39442,1800756.829,9988163.31,3458498.156,731496.1977,244639.8951,3676179.086,1607529.203,118706.009,354060.0133,744706.4302,15100.44451,51286.77496,187209.0361,138015.2326,16194.45538,1228813.976,26922.64255,161414.5059,2778097.944,11888.47689,171444.6122,70715.94255,201551.602,1299287.548,5387.277321,11420.68085,650423.3168,239331.0978,86080.37977,156021.1732,702498.7865,378733.2747,128976.7147,223112.9273,26363.73525,36972.42528,29316.16151,95140.00837,115471.1247,70002.92482,3400.560024,127874.8673,193523.4374,124703.148,23266.99942,3913.71928,5083.983687,189518.2803,344886.4809,114686.0001,17594.87347,7551.588506,3273.769472,76754.23718,342735.2089,744500.5631,941318.0139,842858.2502,651062.0987,13065.67617,36032.70986,195172.3846,801180.1029,1290442.88,2923189.635,1614809.591,4799629.201,2044265.938,1048013.597,59540.86898,19558.91523,10491.10195,46897.62775,19215.26619,126394.6134,15218.79,5238.04363,8039.910096,16922.94078,9588.15759,9706.062031,1498.517547,1269.155792,3344.945423,2547.7094,1774.994895,80402.58679,186665.9951,103511.6743,1408565.828,396628.5107,8613378.463,496513.8932,27274.31578,53148.50392,127011.7397,3041.566068,22354.56902,743425.9058,322152.7601,118471.4783,59058.70384
PI656088,40519.03917,985443.1086,1392199.061,755765.7625,66285.17892,41561.70167,16424.96627,658768.02,1059885.457,778159.0004,35082.0053,553172.9803,20861.84908,782957.9552,14742.6242,22161232.7,3782158.974,2425060.113,1659703.442,1712711.001,2216782.425,42672.43496,79867.02646,365611.392,1431055.869,545163.672,1330355.044,9574.77772,496152.3038,1143321.253,12878969.03,363039.728,3263505.819,632413.0802,33517196.86,2651.0626,558633.5143,122536.7257,341416.36,296337.285,30336.60766,328370.7195,254069.0722,58234.28609,32788.51736,1165682.802,984174.6641,1045871.488,1554596.051,632663.6376,315130.0164,846814.5914,84946.73368,2773202.379,6514.691005,48074.3051,5976417.924,2562593.788,6615883.911,118083301.2,212040.5601,1886310.998,28658.16165,72729.71606,2132271.894,350854.098,174462.7061,89863.34962,217812.7042,264472.8956,14149029.49,5828360.486,19586076.96,9908996.195,124387.8576,805352.0418,1780899.049,2543196.58,4940916.089,3595345.459,1617475.667,16762.27317,66465.95613,14471.08919,87604.59916,95438.80654,16394.25852,19984.67593,241658.919,67907.37143,2652370.521,8116914.621,3492976.189,1094087.892,285038.1268,4958492.639,1113066.486,90936.42496,422190.801,663320.3106,14385.36118,43457.48991,42920.1582,201233.2141,16048.84487,1219105.8,34940.86295,197374.4008,2971453.67,16394.63246,223143.828,93625.76081,241508.5805,1610637.968,2394.685325,5379.85197,69394.84964,57965.21765,7383.378906,25279.89939,79501.21425,41800.86371,13833.39345,26511.47574,1280.66932,5967.876653,4284.848509,41202.79529,28095.46523,9897.506851,1698.605489,81928.45023,34024.02259,24503.38899,3040.819158,954.9309926,2293.51609,132135.3648,213977.1899,83335.96472,8770.907609,5261.666682,3760.782966,35555.92348,176654.4328,405923.3492,716530.7431,853651.8754,677165.7626,12219.39667,5549.062227,56670.01752,232346.5786,581111.9003,1540001.384,1217839.987,3794049.849,2003656.35,1091869.647,41367.84879,3338.049481,6081.710402,15833.64994,28118.13402,126212.9571,14116.16944,6371.299762,1123.164348,5262.157077,1477.268035,2134.858619,1740.06628,1872.446716,4026.91166,4518.647457,2970.772698,67660.88475,249763.1929,145170.5005,1550393.276,114609.4813,8066319.516,585535.3983,4268.213167,93703.6409,152348.8632,3266.703581,21271.81918,656843.3366,317456.6586,114831.7174,56788.46244
PI656010,79280.94829,1381030.214,1544758.595,1171607.613,149294.5065,32463.0138,16033.34089,1035170.57,1660855.864,1563632.279,71575.19276,1164391.296,20897.30086,839765.3886,51.18560467,30529199.78,3920549.672,2383524.216,2187715.373,2364977.97,3164172.187,104720.0425,86569.89346,452259.3072,2433163.273,983359.4707,2713630.266,8646.750139,526112.4357,1374563.413,19451352.5,324312.1489,4011000.728,1075055.535,47313044.75,2022.591519,921562.79,212410.3666,446263.9572,369393.6885,50307.63141,410718.9795,319986.7039,159590.9017,32874.62269,1510162.516,1425402.924,1123908.845,2737887.994,815660.8559,450048.5927,972328.8394,120836.5666,3849105.945,4500.235423,45348.81626,9255519.548,4480555.873,8869545.769,165807385.4,334070.5056,3138114.131,174774.8003,122754.5509,1765393.139,1539408.244,325530.724,277924.8453,294967.5979,440964.1518,32467060.92,13358003.57,45520557.32,18024663.96,122467.8639,1108919.831,4601576.826,2819634.886,7490969.585,22417108.66,1404924.716,19167.07674,68035.69359,123620.9669,214787.2762,64367.28848,16437.30899,22875.43255,303054.765,82441.60751,3743403.884,18732610.7,4115272.926,1238471.254,421970.8407,7698524.24,2699594.033,145176.2808,820048.5177,1290914.398,28638.30723,49837.31357,86438.84582,273060.15,20086.88026,1935580.543,54237.56604,220108.1869,5830850.617,34297.86366,351906.5248,166906.9936,448702.6642,3138935.773,4064.136579,9037.707687,20023.94689,2255.887219,6414.13759,45442.35854,338499.4554,113471.049,62951.96605,105592.9781,6152.428042,25777.75525,20672.13869,72332.81237,82313.72689,37078.44673,6587.107921,117166.593,112400.4176,59113.25411,7661.35766,3652.970146,23983.40541,183798.0736,268455.4054,110476.6299,25158.43149,13445.56998,11157.85544,63581.45481,293229.8577,512670.67,1108237.639,1376026.954,1036739.681,20294.09125,26550.92924,202412.675,702457.9001,1398987.742,2795175.927,2271489.543,6876483.84,3519118.909,1760320.164,47294.47347,21059.22898,13575.53184,22527.66336,45988.64223,245810.2736,24088.03719,11952.7884,4428.234073,17777.02505,4461.599307,5860.587529,2110.22416,3185.818865,3836.294756,4641.200524,3048.798436,107799.6744,384548.6865,221480.6997,1593725.614,519660.7441,13325956.52,1040274.355,35569.62681,107601.6168,227116.9648,3257.985923,23420.53031,701212.5269,821945.4739,314404.4098,137719.586
PI597968,40668.10292,983893.3489,805774.3013,685549.7141,60572.9264,35208.27895,21221.78791,524086.5776,721286.0148,675820.7849,11790.99254,455957.6529,20934.30714,618310.3792,89518.79828,20518588.21,3368408.586,2094759.393,1277114.86,1504507.976,2774749.885,33422.71608,58984.27926,258660.3039,1236119.976,672516.6544,1472268.823,4090.237551,342163.3684,962544.7846,9955608.892,191579.0764,2028893.8,592667.2118,31764453.8,4784.327687,526939.2083,96535.23071,278342.2064,237757.7268,38180.69461,214430.0179,253338.8662,156831.3524,23024.12211,1055690.534,1039350.169,903937.6279,1260453.926,504556.5222,242903.1721,737536.7304,65667.04075,2446413.326,12331.80724,21387.38895,4526916.334,1829749.141,4385382.463,111122024,171245.8755,1328450.968,48603.08307,76306.7784,2375679.274,680125.283,116371.5755,123305.043,115216.4693,183415.7326,17106047.82,6440811.238,24297836.35,16056963.26,112463.825,1006494.155,1678390.606,1605148.731,3192203.401,11570040.86,1934392.618,16578.94264,20873.66969,36726.86385,103025.2016,34398.90043,11512.06094,11726.28244,178173.5484,56446.00017,1559800.429,8457885.495,3120490.331,778524.7814,180201.477,3149510.242,1410301.748,127899.7105,360002.7654,744359.0209,18830.37193,68389.94105,73460.98305,206687.6605,16419.6195,1289420.27,31341.81843,154306.897,2790921.546,11741.96303,178192.9658,69543.99447,199672.6018,1298339.877,9291.953374,8244.918762,430796.8256,168278.7232,57415.88359,105240.3393,457524.0025,246407.3524,92688.65641,157909.4244,10252.70984,29674.11572,40031.93305,88775.46377,131095.5976,53099.6681,3880.319437,131397.4985,172660.9357,99736.5189,11974.46293,2064.822168,5484.297305,171574.6058,321197.9718,156152.7359,19959.91529,7531.709283,5459.400452,63282.16773,268022.2078,549830.3785,931323.4755,1298453.35,1326349.664,27125.47301,29589.45403,164945.196,560488.694,1063814.937,2189254.14,1501226.854,5908472.489,3787261.324,2269805.611,66617.18241,15994.24375,7608.880913,21958.37886,15325.75942,119419.9971,21346.31662,12981.75843,6991.40718,16495.01898,4643.376161,6592.509344,2082.506319,4117.672613,4698.148858,4024.545113,3668.273939,97275.13063,244599.5544,127227.0715,1367555.714,415423.488,9119073.993,445181.3033,24002.15176,59967.21854,167601.0749,981.2479709,46273.69503,727632.8095,350496.1301,130959.7796,64911.5862
PI656015,62900.43994,890897.0589,1200733.548,760436.2829,68018.70381,54163.82577,19287.03734,897034.6572,1419107.11,1128944.683,82788.93376,1182912.575,21021.06726,714417.3981,4288.731956,23798340.7,3880895.025,2587298.505,1815303.13,2233572.992,3672913.236,25410.84892,102249.7656,376119.6005,1697455.863,835393.1482,1534807.707,9443.084769,464957.1185,1337449.56,14922051.51,341319.5265,3375098.708,776039.2276,38907014,2114.055717,718173.4125,127310.4227,345863.9207,341187.3037,52612.60096,297731.5721,193574.2312,105265.8007,20296.21761,1063782.463,902132.7724,1476113.461,1647419.383,775387.0537,337577.6885,905332.4515,102832.6286,2872764.906,3948.084089,43070.54401,5682039.299,2999256.754,6426937.592,129723059.1,134564.6833,1720233.057,12797.79591,58602.26228,4252503.229,645558.8361,213842.0985,109221.6867,241641.2199,337573.0993,20664974.81,6880670.891,28911597.5,5662188.527,150387.9931,558002.5409,1767628.756,2564310.785,5216914.674,7709374.105,3174879.101,21880.40145,25479.60493,40321.06171,80775.46462,77057.4224,10148.10803,12200.61817,293453.7624,82933.53987,3371840.01,12589659.27,6505478.76,1312763.936,377273.9751,6890822.07,2173976.095,158442.4782,433238.4981,1067013.513,18818.35113,44499.69634,79440.7765,152255.1978,20429.32852,1613372.892,38571.83441,242674.9298,4184490.575,17203.347,302940.1923,107969.2803,282839.3233,2034751.983,2406.110401,8827.37507,21965.46309,14831.62122,4782.846339,6282.022266,77434.83068,20559.22583,9979.614539,18237.94393,1618.222411,5271.063816,9937.000129,58483.21116,50406.82175,20851.73605,2717.759624,107257.9139,64020.03082,36672.60941,8795.943607,676.6112076,2157.922185,125092.3242,272751.96,164734.3888,29942.79961,8637.727664,3760.343284,45209.32126,217989.6538,495599.6137,1257793.359,1942294.677,1406223.375,39643.60309,9507.165513,98781.26896,393185.2204,1095119.965,2762993.683,2085923.884,6954857.27,4349365.204,1965138.335,88007.04676,15570.32439,7290.415505,55031.36817,58040.07512,212394.8496,26255.08613,13945.13859,1225.300675,13847.2328,7568.706548,7653.249162,7479.25288,6515.491594,9588.376985,15540.59601,8329.897237,109233.3941,295489.1649,151983.5268,2280461.269,238529.8929,7931066.87,614309.4252,17930.83663,98050.87727,177394.3171,1009.674261,25917.67237,717836.4717,621346.8415,254556.9964,116284.6364
PI656113,39515.64811,643229.9236,1486851.853,1143918.221,88301.68823,52132.32107,17880.25992,673948.0506,1315855.269,961426.9476,84583.47831,743103.6825,21223.43107,493023.6911,4684.322471,24322668.59,3577015.694,2456601.96,2166024.418,2468009.821,3070193.581,62968.04103,96797.18693,567033.0693,2109809.864,793341.6402,1833773.058,17557.03864,675145.58,1426461.244,16210798.47,366388.595,3671004.719,1012900.189,38406278.13,1676.482208,711511.9723,142292.28,412924.5943,348099.7459,33337.02494,402846.9629,136416.6121,47362.26362,17186.52517,736078.619,665285.7345,1194751.605,1834525.001,676569.389,383410.5023,861772.99,118768.7726,2947988.541,5295.653221,88676.39706,5285880.436,3667370.648,6940060.619,128010744.1,145705.2831,1932115.955,15463.78101,40365.5519,3406487.49,383498.4974,164632.5412,84067.66749,152319.1925,371618.2938,11964601.03,6095802.51,16827088.28,9503499.045,80337.27211,525909.8273,1315492.207,2869073.174,4934209.983,4323994.846,2718158.096,16398.49317,47431.57513,16477.1599,86978.23025,39957.23159,8593.26285,10432.20114,256541.0433,59525.97849,2814603.878,9568418.848,4518284.43,1109983.293,387006.8936,5229503.203,1447870.337,107020.7817,384146.0429,734470.235,16216.09272,41526.27067,67793.26627,229981.9211,25146.64493,1868130.653,68930.31697,345353.298,4073054.386,27316.51566,279127.8601,133575.1448,325659.4853,1910626.852,2107.766948,7540.291255,24723.66373,11608.50541,3354.208755,10637.66905,73798.11396,21791.76114,8989.616555,17048.82332,2037.66214,5329.631749,7206.472475,47496.98725,34373.82215,18370.62665,798.0000121,91490.09778,43594.13875,32808.75866,3685.153889,565.388134,1496.933482,132498.7285,211774.218,107475.2766,14815.49888,6628.342203,3551.281761,42834.37981,246489.9172,651405.0274,1089418.183,1266412.21,908392.4817,18896.49856,9370.865841,100073.4316,405876.1708,1249906.864,3325886.944,2480106.195,6465135.552,3065340.163,1351103.891,60805.12151,6343.357424,15030.83921,30005.1563,62290.03301,236099.9243,23210.19741,9831.983244,1480.403939,9525.033794,2303.232489,7351.122362,3231.817563,2189.722332,10695.75642,10883.20235,5472.475635,89437.22721,316042.8015,181124.2455,1783574.173,158788.5494,9172565.134,678177.5338,8698.608142,92479.47056,169604.3506,7009.349787,37844.63301,972319.8761,304114.1923,104265.162,48683.2391
PI656107,54286.73122,648321.2685,972252.3995,618597.0479,57582.84444,33909.77237,18631.15441,897391.8114,1300538.79,1158675.515,131484.9732,1187091.144,21463.51611,446736.4438,51.18560467,24786324.11,4199877.983,2554383.754,2135001.601,1977131.77,3030788.535,53343.96572,75328.51264,353574.915,1676753.311,747098.3027,1485444.408,6755.823053,510361.3839,1165843.711,13081632.36,277057.132,3068752.5,729721.0731,38435736.13,2289.449887,683723.287,110496.2021,366052.0444,327725.9892,37205.62476,306951.9998,213697.8329,86672.67369,21781.05843,761454.6194,678425.397,1582709.035,1267873.141,725911.3725,312160.7117,918273.7321,92294.29848,2896130.636,7905.620356,34889.78212,5606364.574,2773312.38,6733568.853,136124131.3,186683.7772,1551420.186,75544.51159,54407.386,2679279.834,1062734.914,154069.8157,138761.5178,196770.9608,290061.6204,19165117.14,9738480.691,26668493.11,15293622.98,109275.6971,1278466.343,2613464.895,2241290.971,5195777.82,13168597.1,1985420.557,20389.56567,35302.24076,59247.33203,297991.286,39493.87545,10890.52931,11837.04058,271293.2756,82437.43967,2811454.894,13593207.35,4364721.277,1138324.678,354400.3019,5153783.092,2012126.165,140485.5841,458115.3595,851392.6339,24282.05141,30469.01705,73748.44388,198648.4167,12162.78447,1243431.998,36035.52549,152931.612,3387383.332,19450.40973,250687.8958,90139.66719,236534.9887,1677876.927,3900.290263,8735.373207,11844.80673,2601.866194,559.2266533,14931.75151,163728.9656,74574.73113,29426.75488,57689.51373,3383.890152,15097.65669,27395.40992,58958.69216,51389.10273,30539.84711,1814.056259,120451.2612,64184.91113,19870.24196,3747.157835,1286.045269,3714.920071,186896.3532,222515.9488,97421.03705,13293.55396,7489.544958,3251.668316,88791.49356,316401.7096,533917.087,813786.4985,1089251.775,907001.6634,17838.06846,19959.84204,130574.4922,285976.6086,739966.5214,1915312.933,1496223.46,5412877.66,2667897.932,1380081.142,42522.60849,8664.905269,6842.109773,16890.82273,22214.09302,150630.5356,18727.78916,7665.070281,2688.507676,6705.371869,2454.275879,5536.300494,2521.277405,2522.47703,5778.913046,5845.010305,2420.232702,99908.0357,291479.527,135888.0885,2475759.918,506820.978,8031528.251,656731.2095,22448.62205,111694.2314,130871.8386,1021.924884,24796.92768,626144.902,232907.1576,87831.81196,41825.90391
