,Sum_AEG_Sum_Cer,Sum_AEG_Sum_DG,Sum_AEG_Sum_DGDG,Sum_AEG_Sum_FA,Sum_AEG_Sum_GalCer,Sum_AEG_Sum_LPC,Sum_AEG_Sum_LPE,Sum_AEG_Sum_MG,Sum_AEG_Sum_MGDG,Sum_AEG_Sum_PA,Sum_AEG_Sum_PC,Sum_AEG_Sum_PE,Sum_AEG_Sum_PG,Sum_AEG_Sum_PS,Sum_AEG_Sum_SM,Sum_AEG_Sum_SQDG,Sum_AEG_Sum_TG,Sum_Cer_Sum_DG,Sum_Cer_Sum_DGDG,Sum_Cer_Sum_FA,Sum_Cer_Sum_GalCer,Sum_Cer_Sum_LPC,Sum_Cer_Sum_LPE,Sum_Cer_Sum_MG,Sum_Cer_Sum_MGDG,Sum_Cer_Sum_PA,Sum_Cer_Sum_PC,Sum_Cer_Sum_PE,Sum_Cer_Sum_PG,Sum_Cer_Sum_PS,Sum_Cer_Sum_SM,Sum_Cer_Sum_SQDG,Sum_Cer_Sum_TG,Sum_DG_Sum_DGDG,Sum_DG_Sum_FA,Sum_DG_Sum_GalCer,Sum_DG_Sum_LPC,Sum_DG_Sum_LPE,Sum_DG_Sum_MG,Sum_DG_Sum_MGDG,Sum_DG_Sum_PA,Sum_DG_Sum_PC,Sum_DG_Sum_PE,Sum_DG_Sum_PG,Sum_DG_Sum_PS,Sum_DG_Sum_SM,Sum_DG_Sum_SQDG,Sum_DG_Sum_TG,Sum_DGDG_Sum_FA,Sum_DGDG_Sum_GalCer,Sum_DGDG_Sum_LPC,Sum_DGDG_Sum_LPE,Sum_DGDG_Sum_MG,Sum_DGDG_Sum_MGDG,Sum_DGDG_Sum_PA,Sum_DGDG_Sum_PC,Sum_DGDG_Sum_PE,Sum_DGDG_Sum_PG,Sum_DGDG_Sum_PS,Sum_DGDG_Sum_SM,Sum_DGDG_Sum_SQDG,Sum_DGDG_Sum_TG,Sum_FA_Sum_GalCer,Sum_FA_Sum_LPC,Sum_FA_Sum_LPE,Sum_FA_Sum_MG,Sum_FA_Sum_MGDG,Sum_FA_Sum_PA,Sum_FA_Sum_PC,Sum_FA_Sum_PE,Sum_FA_Sum_PG,Sum_FA_Sum_PS,Sum_FA_Sum_SM,Sum_FA_Sum_SQDG,Sum_FA_Sum_TG,Sum_GalCer_Sum_LPC,Sum_GalCer_Sum_LPE,Sum_GalCer_Sum_MG,Sum_GalCer_Sum_MGDG,Sum_GalCer_Sum_PA,Sum_GalCer_Sum_PC,Sum_GalCer_Sum_PE,Sum_GalCer_Sum_PG,Sum_GalCer_Sum_PS,Sum_GalCer_Sum_SM,Sum_GalCer_Sum_SQDG,Sum_GalCer_Sum_TG,Sum_LPC_Sum_LPE,Sum_LPC_Sum_MG,Sum_LPC_Sum_MGDG,Sum_LPC_Sum_PA,Sum_LPC_Sum_PC,Sum_LPC_Sum_PE,Sum_LPC_Sum_PG,Sum_LPC_Sum_PS,Sum_LPC_Sum_SM,Sum_LPC_Sum_SQDG,Sum_LPC_Sum_TG,Sum_LPE_Sum_MG,Sum_LPE_Sum_MGDG,Sum_LPE_Sum_PA,Sum_LPE_Sum_PC,Sum_LPE_Sum_PE,Sum_LPE_Sum_PG,Sum_LPE_Sum_PS,Sum_LPE_Sum_SM,Sum_LPE_Sum_SQDG,Sum_LPE_Sum_TG,Sum_MG_Sum_MGDG,Sum_MG_Sum_PA,Sum_MG_Sum_PC,Sum_MG_Sum_PE,Sum_MG_Sum_PG,Sum_MG_Sum_PS,Sum_MG_Sum_SM,Sum_MG_Sum_SQDG,Sum_MG_Sum_TG,Sum_MGDG_Sum_PA,Sum_MGDG_Sum_PC,Sum_MGDG_Sum_PE,Sum_MGDG_Sum_PG,Sum_MGDG_Sum_PS,Sum_MGDG_Sum_SM,Sum_MGDG_Sum_SQDG,Sum_MGDG_Sum_TG,Sum_PA_Sum_PC,Sum_PA_Sum_PE,Sum_PA_Sum_PG,Sum_PA_Sum_PS,Sum_PA_Sum_SM,Sum_PA_Sum_SQDG,Sum_PA_Sum_TG,Sum_PC_Sum_PE,Sum_PC_Sum_PG,Sum_PC_Sum_PS,Sum_PC_Sum_SM,Sum_PC_Sum_SQDG,Sum_PC_Sum_TG,Sum_PE_Sum_PG,Sum_PE_Sum_PS,Sum_PE_Sum_SM,Sum_PE_Sum_SQDG,Sum_PE_Sum_TG,Sum_PG_Sum_PS,Sum_PG_Sum_SM,Sum_PG_Sum_SQDG,Sum_PG_Sum_TG,Sum_PS_Sum_SM,Sum_PS_Sum_SQDG,Sum_PS_Sum_TG,Sum_SM_Sum_SQDG,Sum_SM_Sum_TG,Sum_SQDG_Sum_TG,Sum_AEG,Sum_Cer,Sum_DG,Sum_DGDG,Sum_FA,Sum_GalCer,Sum_LPC,Sum_LPE,Sum_MG,Sum_MGDG,Sum_PA,Sum_PC,Sum_PE,Sum_PG,Sum_PS,Sum_SM,Sum_SQDG,Sum_TG
PI534115,104.1015712,0.527571844,-0.308619832,-18.97191964,-99.33409407,5.411923498,79.96257533,2.991900095,0.456938052,225.7902192,0.033749414,0.466314,24.19027851,-39.28383669,-12.19798944,-0.633377099,2.510656481,0.005067857,-0.002964603,-0.182244316,-0.954203601,0.051986953,0.768120735,0.028740201,0.004389348,2.168941512,0.000324197,0.004479414,0.232371887,-0.377360651,-0.117173923,-0.006084222,0.024117374,-0.584981619,-35.96082666,-188.2854348,10.25817347,151.5671775,5.671076136,0.866115311,427.9800404,0.063971219,0.8838872,45.85210295,-74.46158684,-23.12100158,-1.200551367,4.758890204,61.47343007,321.8655572,-17.53589025,-259.0973331,-9.694451841,-1.480585513,-731.6128,-0.109355947,-1.510965765,-78.38212594,127.2887633,39.52432147,2.052289043,-8.135110655,5.235848346,-0.285259668,-4.214785686,-0.157701495,-0.024084967,-11.90128482,-0.001778914,-0.024579168,-1.275056977,2.070630565,0.642949668,0.033384977,-0.132335395,-0.054482034,-0.804986204,-0.030119569,-0.004600012,-2.27303849,-0.000339757,-0.0046944,-0.243524429,0.395471837,0.122797611,0.006376231,-0.025274872,14.77525973,0.552834883,0.084431728,41.72088155,0.006236122,0.086164189,4.469811616,-7.258756837,-2.253910175,-0.117033639,0.463912042,0.037416255,0.005714399,2.82369869,0.000422065,0.005831653,0.302520003,-0.491277783,-0.15254623,-0.007920919,0.031397894,0.152725037,75.46716534,0.011280261,0.155858814,8.085256105,-13.13006298,-4.077004262,-0.211697276,0.839151175,494.1374839,0.073859933,1.02051908,52.93995197,-85.97190919,-26.6950616,-1.386133408,5.494522663,0.000149472,0.002065253,0.107136078,-0.173983784,-0.054023551,-0.002805157,0.011119421,13.81695101,716.7614378,-1163.985741,-361.4281847,-18.7670547,74.39111328,51.87551415,-84.24331391,-26.15831701,-1.358263099,5.384046974,-1.623951401,-0.504251716,-0.026183126,0.103787829,0.310509117,0.016123097,-0.063910674,0.051924713,-0.205825435,-3.963920523,-489635.7407,-4703.44237,-928093.0097,1586533.626,25808.44479,4929.181116,-90473.5148,-6123.311295,-163653.7735,-1071558.254,-2168.54274,-14507977.54,-1050012.954,-20241.01295,12464.05092,40140.69229,773055.6433,-195022.9927
PI534116,153.9910158,0.081640847,0.074822528,98.66874431,7.717246043,6.66346469,90.39089025,0.788846821,0.032929782,31.38263582,0.049409941,0.213888575,2.567951286,46.73066399,14.07514618,0.282808053,0.676886857,0.000530166,0.000485889,0.640743512,0.050114911,0.043271776,0.586988077,0.005122681,0.000213842,0.203795239,0.000320862,0.001388968,0.016675981,0.303463574,0.091402385,0.001836523,0.004395626,0.916483968,1208.570804,94.52677566,81.61924972,1107.17727,9.662403673,0.403349346,384.3987038,0.605211027,2.61987207,31.45424595,572.3931785,172.4032353,3.464050942,8.291031763,1318.703705,103.1406756,89.05693119,1208.070526,10.54290528,0.440105185,419.4276354,0.660361826,2.858611999,34.32056319,624.5533999,188.1137491,3.779717988,9.046564968,0.078213685,0.067533693,0.916104597,0.007994901,0.000333741,0.318060557,0.000500766,0.002167744,0.026025985,0.473611622,0.142650505,0.002866237,0.006860195,0.863451114,11.71284287,0.102218695,0.004267038,4.066558931,0.006402535,0.027715661,0.332754881,6.055354945,1.823856089,0.03664624,0.087710934,13.56514883,0.118383883,0.004941841,4.709657404,0.007415053,0.032098703,0.385377788,7.012967902,2.112286451,0.042441593,0.101581818,0.008727061,0.000364304,0.347188038,0.000546625,0.002366263,0.028409404,0.516984221,0.155714211,0.003128723,0.007488441,0.041744204,39.78292739,0.06263566,0.271140822,3.255323108,59.23921188,17.84268606,0.358508199,0.85807135,953.0168009,1.500463636,6.495292711,77.98263772,1419.1003,427.4290683,8.588215086,20.55546101,0.001574436,0.006815507,0.081827138,1.489061157,0.448501084,0.009011609,0.021568834,4.328857131,51.97236097,945.7745365,284.8646632,5.723707579,13.69940631,12.00602362,218.4813469,65.80597478,1.32222141,3.164670466,18.19764426,5.481079902,0.110129836,0.263590225,0.301197222,0.006051873,0.014484854,0.020092726,0.048090929,2.393449722,-1210649.849,-7861.821306,-14828972.15,-16180285.38,-12269.84145,-156875.891,-181684.7399,-13393.49403,-1534708.407,-36764587.04,-38577.06076,-24502151.3,-5660189.413,-471445.8002,-25906.96869,-86013.30551,-4280818.152,-1788555.704
PI534117,455.5887101,0.190916439,0.198267514,69.05968897,18.31807135,6.507326869,609.3453678,1.722556195,0.102130387,48.67074425,9.484531523,1.043964007,8.000731071,107.6993443,53.33845967,0.743520541,1.647535207,0.000419054,0.00043519,0.151583407,0.040207474,0.014283337,1.337490053,0.003780946,0.000224172,0.106830444,0.020818188,0.002291462,0.017561302,0.23639599,0.117075903,0.001631999,0.003616278,1.03850415,361.7273046,95.94810916,34.08468592,3191.686217,9.022566112,0.534948102,254.932181,49.6789672,5.468172416,41.90697827,564.1177089,279.3811779,3.894481503,8.629614157,348.3157045,92.3906844,32.8209434,3073.349507,8.688040499,0.515114072,245.4801756,47.83704254,5.265431454,40.35321214,543.2021711,269.022688,3.750087569,8.309657846,0.265249839,0.094227573,8.823459487,0.024943005,0.001478871,0.704763444,0.137338173,0.015116836,0.115852405,1.559510996,0.772353025,0.010766347,0.023856684,0.35524083,33.26471199,0.094035893,0.00557539,2.656979729,0.517769111,0.056990935,0.436767109,5.879404127,2.911794514,0.040589455,0.08994043,93.63988933,0.264710261,0.015694676,7.479375976,1.457515769,0.16042901,1.229495802,16.55047402,8.19667749,0.114258982,0.253181566,0.002826896,0.000167607,0.079873823,0.015565116,0.001713255,0.013130043,0.17674598,0.087534037,0.001220196,0.002703779,0.059290017,28.25495296,5.506079599,0.606055123,4.644685087,62.52297871,30.96471385,0.431637901,0.956447872,476.5549784,92.86689128,10.22187461,78.33839981,1054.52792,522.2584714,7.280110894,16.13168479,0.194871307,0.021449518,0.16438481,2.212814823,1.095903925,0.015276539,0.033850627,0.110070171,0.843555747,11.35526241,5.623731603,0.078392964,0.1737076,7.663799727,103.1638482,51.09224008,0.712208981,1.578153266,13.4611879,6.66669823,0.092931575,0.205923083,0.495253337,0.006903668,0.015297542,0.01393967,0.030888316,2.215857015,2306925.804,5063.614952,12083431.96,11635420.01,33404.81023,125937.1557,354512.0525,3785.908495,1339245.6,22588045.32,47398.61368,243230.3376,2209775.231,288339.376,21420.05431,43250.70163,3102706.215,1400228.532
PI534123,66.13610871,0.196267838,0.11283362,-16.40532118,10.52056582,7.549487746,69.40391173,0.931610532,0.091378306,26.05917234,0.03909609,0.285331085,1.922073833,55.73566168,8.996908338,0.243595658,0.269918004,0.002967635,0.001706082,-0.248053922,0.159074461,0.11415077,1.049410271,0.014086262,0.00138167,0.394023369,0.000591146,0.004314301,0.029062397,0.842741775,0.136036252,0.003683248,0.00408125,0.574896125,-83.58639563,53.60310641,38.46523104,353.6183632,4.746628586,0.465579622,132.773523,0.199197637,1.453784214,9.793116641,283.9775592,45.83995226,1.241138947,1.375253361,-145.3939104,93.23963773,66.90814111,615.099577,8.256497794,0.809849992,230.9521968,0.346493267,2.528777202,17.03458454,493.9632517,79.73606063,2.158892525,2.392177128,-0.641289842,-0.460185306,-4.230573175,-0.056787095,-0.005570041,-1.588458528,-0.002383135,-0.017392594,-0.117161609,-3.397413623,-0.548414032,-0.014848576,-0.016453076,0.717593319,6.596975192,0.088551371,0.008685684,2.476974412,0.003716158,0.027121268,0.182696812,5.297781757,0.855173428,0.023154235,0.025656225,9.193194832,0.123400496,0.012103908,3.451780202,0.005178641,0.037794761,0.25459659,7.382707748,1.191724345,0.032266515,0.035753155,0.013423026,0.001316616,0.375471233,0.000563312,0.004111167,0.027694027,0.803062252,0.129631142,0.003509826,0.003889089,0.098086381,27.97217447,0.041966131,0.306277221,2.063173148,59.82721295,9.65737079,0.261477999,0.289732667,285.1789828,0.427848701,3.122525442,21.03424674,609.944134,98.45781498,2.665793107,2.953852137,0.001500281,0.010949353,0.073758054,2.138811661,0.345249198,0.00934779,0.010357889,7.298200114,49.16281542,1425.607071,230.1229726,6.230691126,6.903964246,6.736293149,195.336802,31.53146926,0.853729828,0.945981768,28.99766945,4.68083389,0.126735848,0.140430612,0.161421038,0.004370553,0.004842824,0.027075485,0.030001195,1.108057534,-706295.3473,-10679.42099,-3598630.083,-6259617.917,43052.82045,-67134.73014,-93555.40019,-10176.59278,-758144.4425,-7729354.798,-27103.52187,-18065626.4,-2475353.666,-367465.2529,-12672.23401,-78504.22843,-2899457.867,-2616703.355
PI534124,-0.313814107,-0.000641312,-0.000438369,-0.113980323,-0.223707896,-0.032043762,-0.514628875,-0.004591315,-0.000262869,0.024296901,0.001058535,0.001065606,0.003222466,-0.163147199,0.123200663,-0.001256875,-0.000657829,0.002043606,0.001396905,0.363209686,0.712867558,0.102110648,1.63991632,0.014630683,0.000837658,-0.077424503,-0.003373127,-0.00339566,-0.010268709,0.519884847,-0.392591221,0.004005159,0.002096237,0.683549006,177.7297788,348.8282338,49.96591099,802.4619822,7.159247735,0.409892293,-37.88621362,-1.650575659,-1.661602048,-5.024798077,254.3958004,-192.1070763,1.959848525,1.025753799,260.0102951,510.3192757,73.09777431,1173.964083,10.47364223,0.599653118,-55.42574603,-2.414714444,-2.430845532,-7.351042911,372.1690736,-281.043604,2.86716608,1.500629493,1.962688729,0.281134154,4.515067691,0.040281644,0.002306267,-0.213167506,-0.009286996,-0.009349036,-0.028272122,1.431362837,-1.080894139,0.011027125,0.005771423,0.143239297,2.300450206,0.020523705,0.001175055,-0.10860994,-0.004731772,-0.004763382,-0.014404792,0.729286726,-0.550721122,0.005618377,0.00294057,16.06018916,0.143282642,0.008203439,-0.758241226,-0.033034035,-0.033254713,-0.100564524,5.091387216,-3.844762809,0.039223712,0.020529072,0.008921604,0.000510793,-0.047212472,-0.00205689,-0.00207063,-0.006261727,0.317019131,-0.239397106,0.002442295,0.001278258,0.057253542,-5.291926613,-0.23055155,-0.23209171,-0.701861182,35.53387309,-26.83341649,0.273750623,0.143276757,-92.42968036,-4.026852144,-4.053752843,-12.25882546,620.6406044,-468.676966,4.781374422,2.502495939,0.043566657,0.043857696,0.132628669,-6.714732778,5.070632769,-0.05172986,-0.027074593,1.006680329,3.044270071,-154.1255011,116.3879252,-1.187372729,-0.621452154,3.024068298,-153.1027244,115.6155751,-1.179493326,-0.617328198,-50.62806436,38.23180023,-0.39003528,-0.204138312,-0.755150344,0.007703934,0.004032118,-0.010201855,-0.00533949,0.523384224,2411.28307,-7683.794377,-3759919.204,-5500584.698,-21155.25732,-10778.71239,-75249.68784,-4685.479546,-525183.5589,-9172944.379,99242.41156,2277944.173,2262827.739,748272.6961,-14779.8006,19571.99744,-1918474.39,-3665518.187
PI534128,-173.205496,-0.144771986,-0.205658143,-39.11214908,-98.39740024,13.72919548,287.1205143,-2.274325196,-0.060451878,15.07109376,-0.242213521,-0.574715178,-29.02102071,957.5727583,-32.00247957,-0.241472794,-1.988996309,0.000835839,0.001187365,0.225813557,0.568096293,-0.079265357,-1.657687088,0.013130791,0.000349018,-0.087012792,0.001398417,0.003318112,0.167552539,-5.528535643,0.184765959,0.00139414,0.011483448,1.42056588,270.163795,679.6715519,-94.83323316,-1983.260178,15.70970505,0.417566128,-104.1022797,1.673068994,3.969795504,200.4601964,-6614.351203,221.0543663,1.66795249,13.73882038,190.1804054,478.4512717,-66.75736372,-1396.105739,11.05876557,0.293943515,-73.2822611,1.17774826,2.794517002,141.1129179,-4656.1383,155.6100772,1.174146523,9.671371508,2.515775854,-0.351021251,-7.340954691,0.058148817,0.001545604,-0.385330239,0.006192795,0.014694032,0.741995042,-24.48274464,0.818223502,0.006173856,0.05085367,-0.139528031,-2.917968499,0.023113672,0.000614365,-0.153165569,0.002461585,0.005840756,0.294936865,-9.731687584,0.325237044,0.002454057,0.020213911,20.91313469,-0.165656116,-0.004403162,1.097740489,-0.017642222,-0.041860805,-2.113818012,69.74718653,-2.330979963,-0.01758827,-0.144873479,-0.007921152,-0.000210545,0.052490481,-0.000843595,-0.002001651,-0.101076096,3.335090008,-0.111460094,-0.000841015,-0.006927392,0.026580138,-6.62662217,0.106499071,0.252697011,12.76027754,-421.0359891,14.07119775,0.10617338,0.874543496,-249.3072897,4.006716254,9.506986401,480.0681444,-15840.24841,529.3876856,3.994463095,32.90214278,-0.016071396,-0.038133608,-1.925608132,63.53704471,-2.123434442,-0.016022247,-0.131974251,2.372762582,119.8158577,-3953.424054,132.125075,0.996941845,8.211747651,50.49635332,-1666.169251,55.68406888,0.420160809,3.460838313,-32.99583319,1.102734459,0.008320617,0.068536401,-0.033420416,-0.000252172,-0.002077123,0.00754544,0.062151319,8.236937481,494764.6533,-2856.518209,-3417544.151,-2405762.52,-12649.8969,-5028.228917,36037.41049,1723.195065,-217543.4957,-8184438.15,32828.71576,-2042679.749,-860886.7,-17048.49248,516.6862246,-15460.19746,-2048945.742,-248750.9158
PI534132,147.9334533,0.045363672,0.038077903,197.8147656,3.804411343,3.610319201,162.902925,0.290501643,0.017407338,104.5754869,0.047952244,0.148347119,1.326179508,16.84534819,21.70517892,0.078761887,-0.257987335,0.000306649,0.000257399,1.337187507,0.025717045,0.024405022,1.101190578,0.001963732,0.00011767,0.706908982,0.000324147,0.001002796,0.008964703,0.113871121,0.146722587,0.000532414,-0.001743942,0.839391995,4360.642719,83.86471341,79.58613247,3591.04363,6.403838823,0.383728598,2305.269449,1.057062662,3.270174417,29.23439512,371.3400501,478.4705032,1.73623263,-5.687091107,5195.001558,99.91126191,94.8140237,4278.148532,7.62913974,0.457150653,2746.356248,1.259319447,3.895884685,34.82806044,442.3916984,570.0203318,2.068440778,-6.775250591,0.019232191,0.01825101,0.823512464,0.001468554,8.80E-05,0.528653595,0.00024241,0.000749929,0.006704148,0.085157183,0.109724766,0.00039816,-0.001304186,0.948982346,42.81948251,0.076359157,0.004575567,27.48795477,0.012604379,0.038993449,0.348589936,4.42784617,5.705266062,0.020702779,-0.067812682,45.12147428,0.080464255,0.004821551,28.96571774,0.013281996,0.041089752,0.367330265,4.665888875,6.01198335,0.021815768,-0.071458317,0.001783281,0.000106857,0.641949719,0.000294361,0.000910647,0.008140919,0.103407279,0.133239958,0.00048349,-0.001583688,0.059921651,359.9824281,0.165067031,0.510658451,4.565135995,57.98710123,74.71620015,0.271123724,-0.888075304,6007.551849,2.754714316,8.522102427,76.18508306,967.7153384,1246.898213,4.524637046,-14.82060794,0.000458542,0.001418565,0.012681552,0.161083144,0.207555131,0.000753158,-0.002466996,3.093642915,27.65625554,351.2942641,452.6415701,1.642506818,-5.38008891,8.939705163,113.5535916,146.3134507,0.530929672,-1.739078833,12.70216294,16.36669756,0.059390065,-0.194534249,1.2884969,0.004675587,-0.015315049,0.003628714,-0.011885981,-3.275535206,535834.3967,3622.131335,11811971.44,14072056.34,2708.768454,140845.547,148417.4576,3289.28653,1844514.168,30782098.33,5123.900568,11174334.18,3612031.021,404043.6408,31809.04251,24686.93756,6803219.356,-2076979.464
PI534133,32.36807601,-0.127689068,-0.108985003,75.57119525,-24.19360159,2.507795088,230.2156639,-4.277348371,-0.040469441,76.4435705,-0.093214574,-0.42026964,-14.63402288,28.27619652,-19.47090222,-0.39489975,-0.429070774,-0.003944908,-0.003367052,2.334744741,-0.74745257,0.077477422,7.112429662,-0.132147131,-0.001250289,2.361696459,-0.002879831,-0.012984079,-0.452112843,0.873582863,-0.601546481,-0.012200285,-0.013255986,0.85351867,-591.837631,189.4727721,-19.63985747,-1802.939502,33.49815652,0.316937398,-598.6696587,0.730012172,3.29135178,114.6067017,-221.4457123,152.4868384,3.09266688,3.360278075,-693.4091216,221.9901905,-23.01046031,-2112.360943,39.24712804,0.371330364,-701.4136655,0.855297251,3.856215332,134.2755651,-259.4503438,178.6567112,3.623432023,3.936970794,-0.320143165,0.033184537,3.046341442,-0.056600248,-0.000535514,1.011543753,-0.001233467,-0.005561241,-0.193645513,0.374166327,-0.257649785,-0.005225533,-0.005677703,-0.103655302,-9.515559849,0.176796677,0.001672733,-3.159660632,0.003852861,0.017371107,0.604871615,-1.168746886,0.804795522,0.016322487,0.017734886,91.80002986,-1.705621162,-0.016137459,30.48238306,-0.037169932,-0.167585319,-5.835414126,11.27532176,-7.764151989,-0.157468907,-0.17109483,-0.018579745,-0.000175789,0.332051995,-0.000404901,-0.001825548,-0.063566582,0.122824816,-0.084576792,-0.001715347,-0.001863777,0.009461339,-17.87171955,0.021792607,0.098254714,3.421283845,-6.610683552,4.552096423,0.092323495,0.100312328,-1888.920849,2.303332383,10.38486402,361.6067477,-698.7048979,481.1260502,9.757973971,10.60234007,-0.001219391,-0.005497776,-0.191435627,0.369896334,-0.254709482,-0.005165899,-0.005612909,4.508625892,156.9928641,-303.3452328,208.8825971,4.236459333,4.603043899,34.82055683,-67.281083,46.32954744,0.939634256,1.020941637,-1.932223064,1.330522877,0.026985044,0.029320084,-0.688596934,-0.013965802,-0.015174275,0.020281533,0.022036512,1.086530883,537761.5842,16613.94962,-4211492.765,-4934271.405,7115.959758,-22227.42993,214436.0147,2335.90354,-125723.1204,-13288090.3,7034.752311,-5769071.978,-1279563.245,-36747.35162,19018.17254,-27618.72964,-1361767.345,-1253316.741
PI534135,34.93823736,0.209765974,0.297161647,23.85330839,3.503158412,-120.8492606,-1885.82706,1.229651236,-0.057920932,-6.268947993,0.018611261,0.07372923,1.258147196,21.67692194,-42.96046232,-0.097395157,0.073707273,0.006003908,0.008505342,0.682727871,0.100267177,-3.458939824,-53.97602176,0.035194999,-0.001657809,-0.179429429,0.00053269,0.002110273,0.036010609,0.620435476,-1.229611611,-0.002787638,0.002109645,1.416634172,113.7139065,16.70031769,-576.114696,-8990.147545,5.862014752,-0.276121676,-29.88543786,0.088723929,0.351483267,5.997861188,103.3385991,-204.8018629,-0.464303887,0.351378595,80.27048108,11.78872995,-406.6785254,-6346.132068,4.137987682,-0.194913889,-21.09608709,0.062630092,0.248111527,4.233881483,72.94656672,-144.5693369,-0.327751438,0.248037639,0.14686258,-5.066352163,-79.05935012,0.051550553,-0.002428214,-0.262812516,0.000780238,0.003090944,0.052745186,0.908759556,-1.801027414,-0.004083088,0.003090023,-34.49722974,-538.3219478,0.35101217,-0.016533918,-1.789513135,0.005312709,0.021046502,0.359146532,6.187822356,-12.26335132,-0.027802099,0.021040234,15.60478774,-0.010175083,0.000479282,0.051874111,-0.000154004,-0.000610093,-0.01041088,-0.179371573,0.355488003,0.000805923,-0.000609911,-0.000652049,3.07E-05,0.003324243,-9.87E-06,-3.91E-05,-0.000667159,-0.01149465,0.022780701,5.16E-05,-3.91E-05,-0.047103545,-5.098151254,0.015135398,0.059959465,1.023174018,17.62851229,-34.93711147,-0.079205513,0.059941609,108.2328571,-0.321321855,-1.272928923,-21.72180497,-374.2502246,741.7087498,1.681519155,-1.272549843,-0.002968801,-0.011761021,-0.200695108,-3.457824497,6.852898185,0.015536125,-0.011757519,3.961538577,67.601393,1164.720728,-2308.304708,-5.233130365,3.960358826,17.0644288,294.0071655,-582.6788413,-1.320984325,0.999702199,17.22924154,-34.14581572,-0.077411576,0.058583983,-1.981852518,-0.004493034,0.003400265,0.002267088,-0.0017157,-0.756785815,-251355.7034,-7194.286901,-1198267.279,-845855.1282,-10537.56147,-71751.16674,2079.910975,133.28672,-204412.191,4339634.967,40095.35629,-13505570.52,-3409173.041,-199782.4293,-11595.54406,5850.861228,2580782.357,-3410188.6
PI534137,31.78417251,0.11235249,0.297368916,-27.66841906,5.494531036,4.520753958,-337.1047702,1.062327255,0.081641514,35.49983732,0.158281787,0.839272685,-4.332800631,12.09466857,9.242826662,3.362441778,0.258175242,0.003534857,0.00935588,-0.870509341,0.172870036,0.142232866,-10.60605778,0.033423153,0.002568622,1.116902991,0.004979893,0.026405365,-0.136319441,0.380524884,0.290799663,0.105789817,0.008122761,2.646749669,-246.2644041,48.90439922,40.23723861,-3000.420992,9.455306707,0.726655131,315.9684066,1.408796432,7.469996289,-38.56434888,107.6493146,82.26632665,29.92761238,2.297904049,-93.04408613,18.47715324,15.20251012,-1133.624773,3.572421986,0.274546225,119.3797851,0.532274151,2.822328223,-14.57045573,40.67226904,31.0820202,11.3073075,0.868198484,-0.198584929,-0.163390396,12.18373806,-0.038394939,-0.002950711,-1.283045383,-0.005720666,-0.030333236,0.156597333,-0.437129008,-0.334056913,-0.121526343,-0.009331044,0.822773396,-61.35278298,0.193342662,0.014858686,6.460940358,0.028807151,0.152746919,-0.788566049,2.201219447,1.682186633,0.611961559,0.046987676,-74.56826303,0.234988956,0.018059269,7.852636452,0.035012254,0.18564883,-0.958424341,2.675365366,2.044532117,0.743778982,0.05710889,-0.003151327,-0.000242184,-0.105308024,-0.000469533,-0.002489649,0.012852979,-0.03587807,-0.027418261,-0.009974471,-0.000765861,0.076851566,33.41704467,0.148995318,0.79003215,-4.07859312,11.38506851,8.700545545,3.16516569,0.243027976,434.8258109,1.938741463,10.2799746,-53.07104737,148.1436104,113.2123385,41.18544148,3.162303479,0.004458662,0.023641592,-0.122051281,0.34069645,0.260362508,0.094717104,0.007272575,5.302395805,-27.37396832,76.41225672,58.39475797,21.24339025,1.631111492,-5.162566003,14.41089265,11.01290061,4.006375803,0.30761783,-2.791420515,-2.133222239,-0.776043503,-0.059586227,0.764206692,0.278010245,0.021346202,0.363789336,0.027932499,0.076782071,-397290.0234,-12499.61827,-3536103.406,-1336017.323,14358.97087,-72306.44813,-87881.36383,1178.53575,-373980.8253,-4866274.598,-11191.31955,-2510017.293,-473374.1851,91693.58509,-32848.35968,-42983.60641,-118155.2127,-1538838.581
