Chromosome	gene	max_pvalue	phenotype	phenotype_number
8	SORBI_3008G092800	7.400066e-08	Sum_AEG_Sum_LPC,Sum_AEG_Sum_LPE,Sum_AEG_Sum_PA,Sum_AEG_Sum_PC,Sum_AEG_Sum_PS,Sum_AEG_Sum_TG,Sum_Cer,Sum_Cer_Sum_FA,Sum_Cer_Sum_LPE,Sum_Cer_Sum_PC,Sum_DG_Sum_PA,Sum_DG_Sum_PS,Sum_DG_Sum_TG,Sum_DGDG_Sum_LPC,Sum_DGDG_Sum_LPE,Sum_DGDG_Sum_PA,Sum_DGDG_Sum_PC,Sum_DGDG_Sum_PS,Sum_DGDG_Sum_TG,Sum_FA_Sum_GalCer,Sum_FA_Sum_LPE,Sum_FA_Sum_MGDG,Sum_FA_Sum_PA,Sum_FA_Sum_PC,Sum_LPC_Sum_LPE,Sum_LPC_Sum_MGDG,Sum_LPC_Sum_PA,Sum_LPC_Sum_PE,Sum_LPC_Sum_PS,Sum_LPC_Sum_TG,Sum_LPE_Sum_PA,Sum_LPE_Sum_PC,Sum_LPE_Sum_PS,Sum_MGDG_Sum_PA,Sum_MGDG_Sum_PC,Sum_MGDG_Sum_PS,Sum_MGDG_Sum_TG,Sum_PA_Sum_PC,Sum_PA_Sum_PE,Sum_PA_Sum_PS,Sum_PA_Sum_TG,Sum_PC_Sum_PS,Sum_PE_Sum_PS,Sum_PG_Sum_PS,Sum_PS_Sum_SQDG	45
4	SORBI_3004G139400	6.275296e-08	Sum_AEG_Sum_LPE,Sum_AEG_Sum_PA,Sum_AEG_Sum_PE,Sum_Cer_Sum_LPE,Sum_Cer_Sum_PE,Sum_DG_Sum_PA,Sum_DG_Sum_PE,Sum_DG_Sum_PG,Sum_DGDG_Sum_LPE,Sum_DGDG_Sum_MGDG,Sum_DGDG_Sum_PA,Sum_DGDG_Sum_PE,Sum_DGDG_Sum_PG,Sum_FA_Sum_LPC,Sum_FA_Sum_LPE,Sum_LPC_Sum_LPE,Sum_LPC_Sum_PA,Sum_LPE_Sum_PA,Sum_LPE_Sum_PC,Sum_LPE_Sum_PE,Sum_MGDG_Sum_PA,Sum_MGDG_Sum_PC,Sum_MGDG_Sum_PE,Sum_PA_Sum_PE,Sum_PC_Sum_PE	25
9	SORBI_3009G090800	7.698891e-08	Sum_AEG_Sum_DGDG,Sum_AEG_Sum_PE,Sum_Cer_Sum_DGDG,Sum_DG_Sum_SQDG,Sum_DG_Sum_TG,Sum_DGDG_Sum_LPC,Sum_DGDG_Sum_PG,Sum_DGDG_Sum_TG,Sum_FA_Sum_GalCer,Sum_FA_Sum_MG,Sum_LPC_Sum_PS,Sum_LPE_Sum_PS,Sum_MGDG_Sum_PG,Sum_MGDG_Sum_SQDG,Sum_MGDG_Sum_TG,Sum_PA_Sum_PG,Sum_PA_Sum_PS,Sum_PA_Sum_SQDG,Sum_PA_Sum_TG,Sum_PC_Sum_PG,Sum_PC_Sum_SQDG,Sum_PE_Sum_PG,Sum_PS_Sum_SQDG	23
6	SORBI_3006G038200	8.961458e-08	Sum_AEG_Sum_LPE,Sum_AEG_Sum_PE,Sum_AEG_Sum_PS,Sum_Cer_Sum_PC,Sum_Cer_Sum_PG,Sum_DG_Sum_PS,Sum_DGDG_Sum_LPE,Sum_DGDG_Sum_PS,Sum_FA_Sum_PC,Sum_LPC_Sum_PC,Sum_LPC_Sum_PS,Sum_LPE_Sum_PE,Sum_LPE_Sum_PS,Sum_MGDG_Sum_PS,Sum_PA_Sum_PC,Sum_PA_Sum_PE,Sum_PA_Sum_PS,Sum_PC_Sum_PS,Sum_PE_Sum_PS,Sum_PG_Sum_PS	20
6	SORBI_3006G025000	3.578351e-08	Sum_AEG_Sum_LPC,Sum_AEG_Sum_PG,Sum_AEG_Sum_TG,Sum_Cer_Sum_PA,Sum_Cer_Sum_PG,Sum_DG_Sum_PG,Sum_DG_Sum_TG,Sum_DGDG_Sum_PG,Sum_DGDG_Sum_TG,Sum_LPC_Sum_PG,Sum_MGDG_Sum_PG,Sum_MGDG_Sum_TG,Sum_PA_Sum_PC,Sum_PA_Sum_TG,Sum_PC_Sum_TG,Sum_PE_Sum_PG,Sum_PG_Sum_TG,Sum_PS_Sum_TG,Sum_SQDG_Sum_TG	19
7	SORBI_3007G112301	4.868823e-08	Sum_AEG_Sum_DGDG,Sum_Cer_Sum_DGDG,Sum_DG_Sum_MGDG,Sum_DG_Sum_PA,Sum_DGDG_Sum_MGDG,Sum_DGDG_Sum_PG,Sum_FA_Sum_GalCer,Sum_FA_Sum_MG,Sum_FA_Sum_MGDG,Sum_LPC_Sum_MGDG,Sum_LPC_Sum_PS,Sum_LPE_Sum_MGDG,Sum_LPE_Sum_PS,Sum_MGDG_Sum_PG,Sum_PA_Sum_PG,Sum_PA_Sum_PS,Sum_PA_Sum_SQDG,Sum_PC_Sum_PG,Sum_PE_Sum_PG	19
8	SORBI_3008G088836	1.66355e-08	Sum_AEG_Sum_Cer,Sum_AEG_Sum_GalCer,Sum_Cer_Sum_GalCer,Sum_Cer_Sum_PA,Sum_Cer_Sum_PC,Sum_DG_Sum_TG,Sum_DGDG_Sum_GalCer,Sum_DGDG_Sum_TG,Sum_FA_Sum_PC,Sum_LPC_Sum_PC,Sum_MGDG_Sum_PA,Sum_MGDG_Sum_TG,Sum_PA_Sum_PC,Sum_PA_Sum_TG,Sum_PC_Sum_TG,Sum_PG_Sum_TG,Sum_PS_Sum_TG,Sum_SQDG_Sum_TG	18
4	SORBI_3004G118200	8.276072e-08	Sum_AEG_Sum_PA,Sum_AEG_Sum_TG,Sum_DG_Sum_PA,Sum_DG_Sum_TG,Sum_DGDG_Sum_PA,Sum_DGDG_Sum_TG,Sum_FA_Sum_PA,Sum_LPC_Sum_PA,Sum_LPE_Sum_PA,Sum_MGDG_Sum_PA,Sum_MGDG_Sum_SQDG,Sum_MGDG_Sum_TG,Sum_PA_Sum_TG,Sum_PC_Sum_TG,Sum_PG_Sum_TG,Sum_PS_Sum_TG,Sum_SQDG_Sum_TG	17
4	SORBI_3004G118300	8.276072e-08	Sum_AEG_Sum_PA,Sum_AEG_Sum_TG,Sum_DG_Sum_PA,Sum_DG_Sum_TG,Sum_DGDG_Sum_PA,Sum_DGDG_Sum_TG,Sum_FA_Sum_PA,Sum_LPC_Sum_PA,Sum_LPE_Sum_PA,Sum_MGDG_Sum_PA,Sum_MGDG_Sum_SQDG,Sum_MGDG_Sum_TG,Sum_PA_Sum_TG,Sum_PC_Sum_TG,Sum_PG_Sum_TG,Sum_PS_Sum_TG,Sum_SQDG_Sum_TG	17
4	SORBI_3004G118400	8.276072e-08	Sum_AEG_Sum_PA,Sum_AEG_Sum_TG,Sum_DG_Sum_PA,Sum_DG_Sum_TG,Sum_DGDG_Sum_PA,Sum_DGDG_Sum_TG,Sum_FA_Sum_PA,Sum_LPC_Sum_PA,Sum_LPE_Sum_PA,Sum_MGDG_Sum_PA,Sum_MGDG_Sum_SQDG,Sum_MGDG_Sum_TG,Sum_PA_Sum_TG,Sum_PC_Sum_TG,Sum_PG_Sum_TG,Sum_PS_Sum_TG,Sum_SQDG_Sum_TG	17
