Chromosome	gene	max_pvalue	phenotype	phenotype_number
1	SORBI_3001G166750	8.451029e-09	alpha_Tocopherol	1
1	SORBI_3001G166800	8.451029e-09	alpha_Tocopherol	1
1	SORBI_3001G166900	8.451029e-09	alpha_Tocopherol	1
1	SORBI_3001G174800	3.891055e-09	alpha_Tocopherol	1
1	SORBI_3001G174900	3.891055e-09	alpha_Tocopherol	1
1	SORBI_3001G175000	3.891055e-09	alpha_Tocopherol	1
1	SORBI_3001G175100	9.705818e-08	alpha_Tocopherol	1
1	SORBI_3001G175200	9.705818e-08	alpha_Tocopherol	1
1	SORBI_3001G175300	9.705818e-08	alpha_Tocopherol	1
1	SORBI_3001G175400	9.705818e-08	alpha_Tocopherol	1
1	SORBI_3001G175500	9.705818e-08	alpha_Tocopherol	1
1	SORBI_3001G176400	1.523577e-09	alpha_Tocopherol	1
1	SORBI_3001G176501	1.523577e-09	alpha_Tocopherol	1
2	SORBI_3002G061800	2.768264e-08	alpha_Tocopherol	1
2	SORBI_3002G061900	2.768264e-08	alpha_Tocopherol	1
2	SORBI_3002G062000	2.768264e-08	alpha_Tocopherol	1
2	SORBI_3002G166800	8.699454e-08	alpha_Tocopherol	1
2	SORBI_3002G167250	8.990538e-08	alpha_Tocopherol	1
2	SORBI_3002G168650	2.862436e-08	alpha_Tocopherol	1
2	SORBI_3002G168700	8.439893e-08	alpha_Tocopherol	1
2	SORBI_3002G169200	2.517045e-08	alpha_Tocopherol	1
2	SORBI_3002G171600	6.528728e-08	alpha_Tocopherol	1
2	SORBI_3002G171700	6.528728e-08	alpha_Tocopherol	1
2	SORBI_3002G173900	3.635916e-08	alpha_Tocopherol	1
2	SORBI_3002G174000	3.635916e-08	alpha_Tocopherol	1
2	SORBI_3002G174100	4.618047e-08	alpha_Tocopherol	1
2	SORBI_3002G174200	7.344212e-09	alpha_Tocopherol	1
2	SORBI_3002G174300	1.619407e-08	alpha_Tocopherol	1
2	SORBI_3002G174400	1.619407e-08	alpha_Tocopherol	1
2	SORBI_3002G174700	7.372866e-08	alpha_Tocopherol	1
2	SORBI_3002G175550	8.647287e-08	alpha_Tocopherol	1
3	SORBI_3003G103701	5.967226e-08	alpha_Tocopherol	1
3	SORBI_3003G106300	8.654312e-08	alpha_Tocopherol	1
3	SORBI_3003G106400	8.654312e-08	alpha_Tocopherol	1
3	SORBI_3003G106500	8.654312e-08	alpha_Tocopherol	1
3	SORBI_3003G106600	2.861453e-09	alpha_Tocopherol	1
3	SORBI_3003G106800	2.861453e-09	alpha_Tocopherol	1
3	SORBI_3003G157300	2.13846e-08	alpha_Tocopherol	1
3	SORBI_3003G157400	2.13846e-08	alpha_Tocopherol	1
3	SORBI_3003G193900	3.994107e-08	alpha_Tocopherol	1
3	SORBI_3003G194100	3.994107e-08	alpha_Tocopherol	1
3	SORBI_3003G194200	3.994107e-08	alpha_Tocopherol	1
3	SORBI_3003G196200	4.296903e-08	alpha_Tocopherol	1
6	SORBI_3006G014400	4.332648e-09	alpha_Tocopherol	1
