Chromosome	gene	max_pvalue	phenotype	phenotype_number
8	SORBI_3008G092800	7.400066e-08	19_Norandrosterone,3_Epilupeol,9_Oxo_10_E__12_E__octadecadienoic_acid,Austinoneol,Cer_24_1_,FA_18_4_,Sum_AEG_Sum_LPC,Sum_AEG_Sum_LPE,Sum_AEG_Sum_PA,Sum_AEG_Sum_PC,Sum_AEG_Sum_PS,Sum_AEG_Sum_TG,Sum_Cer,Sum_Cer_Sum_FA,Sum_Cer_Sum_LPE,Sum_Cer_Sum_PC,Sum_DG_Sum_PA,Sum_DG_Sum_PS,Sum_DG_Sum_TG,Sum_DGDG_Sum_LPC,Sum_DGDG_Sum_LPE,Sum_DGDG_Sum_PA,Sum_DGDG_Sum_PC,Sum_DGDG_Sum_PS,Sum_DGDG_Sum_TG,Sum_FA_Sum_GalCer,Sum_FA_Sum_LPE,Sum_FA_Sum_MGDG,Sum_FA_Sum_PA,Sum_FA_Sum_PC,Sum_LPC_Sum_LPE,Sum_LPC_Sum_MGDG,Sum_LPC_Sum_PA,Sum_LPC_Sum_PE,Sum_LPC_Sum_PS,Sum_LPC_Sum_TG,Sum_LPE_Sum_PA,Sum_LPE_Sum_PC,Sum_LPE_Sum_PS,Sum_MGDG_Sum_PA,Sum_MGDG_Sum_PC,Sum_MGDG_Sum_PS,Sum_MGDG_Sum_TG,Sum_PA_Sum_PC,Sum_PA_Sum_PE,Sum_PA_Sum_PS,Sum_PA_Sum_TG,Sum_PC_Sum_PS,Sum_PE_Sum_PS,Sum_PG_Sum_PS,Sum_PS_Sum_SQDG,TG_52_6_,TG_56_5_	53
9	SORBI_3009G090800	7.698891e-08	Didodecyl_3_3__thiodipropionate,gamma_sitosterol,SQDG_34_1_,Sum_AEG_Sum_DGDG,Sum_AEG_Sum_PE,Sum_Cer_Sum_DGDG,Sum_DG_Sum_SQDG,Sum_DG_Sum_TG,Sum_DGDG_Sum_LPC,Sum_DGDG_Sum_PG,Sum_DGDG_Sum_TG,Sum_FA_Sum_GalCer,Sum_FA_Sum_MG,Sum_LPC_Sum_PS,Sum_LPE_Sum_PS,Sum_MGDG_Sum_PG,Sum_MGDG_Sum_SQDG,Sum_MGDG_Sum_TG,Sum_PA_Sum_PG,Sum_PA_Sum_PS,Sum_PA_Sum_SQDG,Sum_PA_Sum_TG,Sum_PC_Sum_PG,Sum_PC_Sum_SQDG,Sum_PE_Sum_PG,Sum_PS_Sum_SQDG,TG_58_5_,TG_58_6_,TG_60_6_	29
3	SORBI_3003G169600	6.381729e-08	_6E_10E_14E_18E__2_6_10_15_19_23_hexamethyltetracosa_6_10_14_18_tetraene_1_2_3_22_23_pentol,AEG_o_30_2_,DG_38_3_,Ginsenoside_F1,Panaxatriol,PC_38_2_,PC_38_3_,Sum_AEG_Sum_DGDG,Sum_AEG_Sum_PE,Sum_Cer_Sum_DGDG,Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_LPE_Sum_PE,Sum_MGDG_Sum_TG,Sum_PA_Sum_TG,Sum_TG,Sumaresinolic_acid,TG_50_3_,TG_50_6_,TG_52_5_,TG_52_6_,TG_52_7_,TG_54_8_,TG_54_9_,TG_56_4_,TG_56_5_,TG_56_8_,TG_56_9_	28
4	SORBI_3004G139400	6.275296e-08	Sum_AEG_Sum_LPE,Sum_AEG_Sum_PA,Sum_AEG_Sum_PE,Sum_Cer_Sum_LPE,Sum_Cer_Sum_PE,Sum_DG_Sum_PA,Sum_DG_Sum_PE,Sum_DG_Sum_PG,Sum_DGDG_Sum_LPE,Sum_DGDG_Sum_MGDG,Sum_DGDG_Sum_PA,Sum_DGDG_Sum_PE,Sum_DGDG_Sum_PG,Sum_FA_Sum_LPC,Sum_FA_Sum_LPE,Sum_LPC_Sum_LPE,Sum_LPC_Sum_PA,Sum_LPE_Sum_PA,Sum_LPE_Sum_PC,Sum_LPE_Sum_PE,Sum_MGDG_Sum_PA,Sum_MGDG_Sum_PC,Sum_MGDG_Sum_PE,Sum_PA_Sum_PE,Sum_PC_Sum_PE	25
3	SORBI_3003G169700	6.180639e-08	_6E_10E_14E_18E__2_6_10_15_19_23_hexamethyltetracosa_6_10_14_18_tetraene_1_2_3_22_23_pentol,AEG_o_30_2_,DG_38_3_,Ginsenoside_F1,Panaxatriol,PC_38_2_,PC_38_3_,Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG,Sum_PA_Sum_TG,Sum_TG,Sumaresinolic_acid,TG_50_3_,TG_50_6_,TG_52_5_,TG_52_6_,TG_52_7_,TG_54_8_,TG_54_9_,TG_56_4_,TG_56_5_,TG_56_8_,TG_56_9_	24
3	SORBI_3003G169800	6.180639e-08	_6E_10E_14E_18E__2_6_10_15_19_23_hexamethyltetracosa_6_10_14_18_tetraene_1_2_3_22_23_pentol,AEG_o_30_2_,DG_38_3_,Ginsenoside_F1,Panaxatriol,PC_38_2_,PC_38_3_,Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG,Sum_PA_Sum_TG,Sum_TG,Sumaresinolic_acid,TG_50_3_,TG_50_6_,TG_52_5_,TG_52_6_,TG_52_7_,TG_54_8_,TG_54_9_,TG_56_4_,TG_56_5_,TG_56_8_,TG_56_9_	24
3	SORBI_3003G180300	8.126775e-08	1_2_dihydroxyheptadec_16_yn_4_yl_acetate,DG_16_0_,NCGC00164361_03_decanedioic_acid,PC_38_3_,Sebacic_acid,Sum_AEG_Sum_LPE,Sum_AEG_Sum_MGDG,Sum_Cer_Sum_FA,Sum_Cer_Sum_LPE,Sum_Cer_Sum_MG,Sum_Cer_Sum_PC,Sum_DGDG_Sum_LPE,Sum_DGDG_Sum_TG,Sum_FA_Sum_GalCer,Sum_FA_Sum_LPE,Sum_LPC_Sum_LPE,Sum_LPC_Sum_MG,Sum_LPE_Sum_MG,Sum_PA_Sum_TG,Sum_PC_Sum_PG,Sum_SQDG_Sum_TG,TG_24_0_,TG_28_0_,TG_56_5_	24
5	SORBI_3005G110493	6.209255e-08	5_7_Dimethoxy_3_hydroxyflavone,FA_22_0__amide,PC_32_3_,Sum_AEG_Sum_Cer,Sum_AEG_Sum_LPE,Sum_Cer_Sum_LPE,Sum_DG_Sum_TG,Sum_DGDG_Sum_LPE,Sum_DGDG_Sum_TG,Sum_FA_Sum_GalCer,Sum_FA_Sum_LPE,Sum_FA_Sum_MGDG,Sum_FA_Sum_PA,Sum_LPC_Sum_LPE,Sum_LPC_Sum_MGDG,Sum_LPE_Sum_MGDG,Sum_LPE_Sum_SQDG,Sum_MGDG_Sum_TG,Sum_SQDG_Sum_TG,TG_58_5_,TG_58_6_,TG_60_5_,TG_60_6_	23
1	SORBI_3001G183200	8.621418e-08	_10E_15E__9_12_13_trihydroxyoctadeca_10_15_dienoic_acid,4_4__Sulfonylbis_2__prop_2_en_1_yl_phenol_,4_alpha___beta__Hydroxyprostanozol,Didodecyl_3_3__thiodipropionate,FA_22_0__amide,Hydroperoxy_fatty_acid__18_3_,Oxo_fatty_acid__18_3_,Sum_AEG_Sum_Cer,Sum_AEG_Sum_PE,Sum_DG_Sum_MGDG,Sum_DG_Sum_TG,Sum_DGDG_Sum_MGDG,Sum_DGDG_Sum_TG,Sum_FA_Sum_MGDG,Sum_LPC_Sum_MGDG,Sum_LPE_Sum_MGDG,Sum_LPE_Sum_PE,Sum_MGDG_Sum_TG,Sum_PA_Sum_TG,Sum_SQDG_Sum_TG,TG_58_5_	21
6	SORBI_3006G038200	8.961458e-08	Sum_AEG_Sum_LPE,Sum_AEG_Sum_PE,Sum_AEG_Sum_PS,Sum_Cer_Sum_PC,Sum_Cer_Sum_PG,Sum_DG_Sum_PS,Sum_DGDG_Sum_LPE,Sum_DGDG_Sum_PS,Sum_FA_Sum_PC,Sum_LPC_Sum_PC,Sum_LPC_Sum_PS,Sum_LPE_Sum_PE,Sum_LPE_Sum_PS,Sum_MGDG_Sum_PS,Sum_PA_Sum_PC,Sum_PA_Sum_PE,Sum_PA_Sum_PS,Sum_PC_Sum_PS,Sum_PE_Sum_PS,Sum_PG_Sum_PS,TG_54_6_	21
