Chromosome	gene	max_pvalue	phenotype	phenotype_number
1	SORBI_3001G234700	1.074473e-09	Sum_LPC_Sum_PC	1
1	SORBI_3001G257800	4.095781e-10	Sum_LPC_Sum_PC	1
1	SORBI_3001G278800	2.277511e-21	Sum_LPC_Sum_PC	1
1	SORBI_3001G278900	2.277511e-21	Sum_LPC_Sum_PC	1
1	SORBI_3001G325850	8.358702e-12	Sum_LPC_Sum_PC	1
1	SORBI_3001G326000	8.358702e-12	Sum_LPC_Sum_PC	1
2	SORBI_3002G142500	1.84808e-52	Sum_LPC_Sum_PC	1
2	SORBI_3002G142550	1.84808e-52	Sum_LPC_Sum_PC	1
2	SORBI_3002G142600	1.84808e-52	Sum_LPC_Sum_PC	1
2	SORBI_3002G147350	8.354943e-09	Sum_LPC_Sum_PC	1
3	SORBI_3003G116700	8.170139e-08	Sum_LPC_Sum_PC	1
3	SORBI_3003G116800	8.170139e-08	Sum_LPC_Sum_PC	1
3	SORBI_3003G116850	8.170139e-08	Sum_LPC_Sum_PC	1
3	SORBI_3003G116900	8.170139e-08	Sum_LPC_Sum_PC	1
3	SORBI_3003G117000	8.170139e-08	Sum_LPC_Sum_PC	1
3	SORBI_3003G178500	3.851958e-08	Sum_LPC_Sum_PC	1
3	SORBI_3003G178601	3.851958e-08	Sum_LPC_Sum_PC	1
3	SORBI_3003G179201	5.065714e-08	Sum_LPC_Sum_PC	1
4	SORBI_3004G111500	2.692137e-10	Sum_LPC_Sum_PC	1
4	SORBI_3004G111600	2.692137e-10	Sum_LPC_Sum_PC	1
4	SORBI_3004G127132	4.345174e-15	Sum_LPC_Sum_PC	1
5	SORBI_3005G130001	5.139732e-23	Sum_LPC_Sum_PC	1
6	SORBI_3006G020200	7.791887e-08	Sum_LPC_Sum_PC	1
6	SORBI_3006G030400	8.589028e-11	Sum_LPC_Sum_PC	1
6	SORBI_3006G030500	2.981554e-10	Sum_LPC_Sum_PC	1
6	SORBI_3006G030600	2.981554e-10	Sum_LPC_Sum_PC	1
6	SORBI_3006G030700	1.886152e-08	Sum_LPC_Sum_PC	1
6	SORBI_3006G030800	1.886152e-08	Sum_LPC_Sum_PC	1
6	SORBI_3006G038200	6.83639e-20	Sum_LPC_Sum_PC	1
6	SORBI_3006G044400	8.251314e-08	Sum_LPC_Sum_PC	1
6	SORBI_3006G044600	7.941943e-10	Sum_LPC_Sum_PC	1
6	SORBI_3006G282200	6.729684e-08	Sum_LPC_Sum_PC	1
7	SORBI_3007G060000	2.28184e-12	Sum_LPC_Sum_PC	1
7	SORBI_3007G060100	2.28184e-12	Sum_LPC_Sum_PC	1
7	SORBI_3007G060201	2.28184e-12	Sum_LPC_Sum_PC	1
7	SORBI_3007G060300	2.28184e-12	Sum_LPC_Sum_PC	1
7	SORBI_3007G150100	1.908477e-09	Sum_LPC_Sum_PC	1
7	SORBI_3007G150200	1.908477e-09	Sum_LPC_Sum_PC	1
7	SORBI_3007G150500	1.908477e-09	Sum_LPC_Sum_PC	1
8	SORBI_3008G074100	1.004727e-08	Sum_LPC_Sum_PC	1
8	SORBI_3008G088836	1.95424e-23	Sum_LPC_Sum_PC	1
8	SORBI_3008G102050	6.539733e-13	Sum_LPC_Sum_PC	1
9	SORBI_3009G100300	2.241362e-08	Sum_LPC_Sum_PC	1
9	SORBI_3009G155900	8.902171e-17	Sum_LPC_Sum_PC	1
10	SORBI_3010G157900	7.622039e-11	Sum_LPC_Sum_PC	1
