Chromosome	gene	max_pvalue	phenotype	phenotype_number
1	SORBI_3001G057100	8.927726e-07	AEG_o_30_2_,DG_34_3_,DG_38_3_,FA_22_1_,PC_38_2_,PC_38_3_,TG_50_3_,TG_50_4_,TG_50_6_,TG_52_5_,TG_52_6_,TG_52_7_,TG_54_8_,TG_54_9_,TG_56_4_,TG_56_5_,TG_56_6_,TG_56_8_,TG_56_9_	19
1	SORBI_3001G311700	8.843248e-07	AEG_o_34_4_,DG_34_1_,DG_36_2_,DGDG_36_2_,DGDG_36_3_,DGDG_36_6_,GalCer_d38_3_,PC_32_0_,PC_32_2_,PC_33_2_,PC_36_2_,PC_36_3_,PC_36_4_,PC_38_6_,PE_34_1_,PE_34_2_,PE_36_2_,PE_36_4_,PG_34_1_	19
1	SORBI_3001G311800	8.843248e-07	AEG_o_34_4_,DG_34_1_,DG_36_2_,DGDG_36_2_,DGDG_36_3_,DGDG_36_6_,GalCer_d38_3_,PC_32_0_,PC_32_2_,PC_33_2_,PC_36_2_,PC_36_3_,PC_36_4_,PC_38_6_,PE_34_1_,PE_34_2_,PE_36_2_,PE_36_4_,PG_34_1_	19
3	SORBI_3003G169600	8.927726e-07	AEG_o_30_2_,DG_34_3_,DG_38_3_,FA_22_0__amide,PC_38_2_,PC_38_3_,TG_50_3_,TG_50_4_,TG_50_6_,TG_52_5_,TG_52_6_,TG_52_7_,TG_54_8_,TG_54_9_,TG_56_4_,TG_56_5_,TG_56_6_,TG_56_8_,TG_56_9_	19
3	SORBI_3003G169700	8.927726e-07	AEG_o_30_2_,DG_34_3_,DG_38_3_,PC_38_2_,PC_38_3_,TG_50_3_,TG_50_4_,TG_50_6_,TG_52_5_,TG_52_6_,TG_52_7_,TG_54_8_,TG_54_9_,TG_56_4_,TG_56_5_,TG_56_6_,TG_56_8_,TG_56_9_	18
3	SORBI_3003G169800	8.927726e-07	AEG_o_30_2_,DG_34_3_,DG_38_3_,PC_38_2_,PC_38_3_,TG_50_3_,TG_50_4_,TG_50_6_,TG_52_5_,TG_52_6_,TG_52_7_,TG_54_8_,TG_54_9_,TG_56_4_,TG_56_5_,TG_56_6_,TG_56_8_,TG_56_9_	18
5	SORBI_3005G041700	9.132878e-07	AEG_o_30_2_,DG_34_3_,DG_38_3_,PC_38_2_,PC_38_3_,TG_50_3_,TG_50_4_,TG_50_6_,TG_52_5_,TG_52_6_,TG_52_7_,TG_54_8_,TG_54_9_,TG_56_4_,TG_56_5_,TG_56_6_,TG_56_8_,TG_56_9_	18
5	SORBI_3005G041800	9.132878e-07	AEG_o_30_2_,DG_34_3_,DG_38_3_,PC_38_2_,PC_38_3_,TG_50_3_,TG_50_4_,TG_50_6_,TG_52_5_,TG_52_6_,TG_52_7_,TG_54_8_,TG_54_9_,TG_56_4_,TG_56_5_,TG_56_6_,TG_56_8_,TG_56_9_	18
5	SORBI_3005G041900	9.132878e-07	AEG_o_30_2_,DG_34_3_,DG_38_3_,PC_38_2_,PC_38_3_,TG_50_3_,TG_50_4_,TG_50_6_,TG_52_5_,TG_52_6_,TG_52_7_,TG_54_8_,TG_54_9_,TG_56_4_,TG_56_5_,TG_56_6_,TG_56_8_,TG_56_9_	18
5	SORBI_3005G042000	9.132878e-07	AEG_o_30_2_,DG_34_3_,DG_38_3_,PC_38_2_,PC_38_3_,TG_50_3_,TG_50_4_,TG_50_6_,TG_52_5_,TG_52_6_,TG_52_7_,TG_54_8_,TG_54_9_,TG_56_4_,TG_56_5_,TG_56_6_,TG_56_8_,TG_56_9_	18
