Chromosome	gene	max_pvalue	phenotype	phenotype_number
1	SORBI_3001G005400	4.349153e-06	Sum_LPE_Sum_PE	1
1	SORBI_3001G063500	7.84293e-08	Sum_LPE_Sum_PE	1
1	SORBI_3001G073800	6.279653e-10	Sum_LPE_Sum_PE	1
1	SORBI_3001G073900	6.279653e-10	Sum_LPE_Sum_PE	1
1	SORBI_3001G183200	4.477049e-09	Sum_LPE_Sum_PE	1
1	SORBI_3001G190600	1.649673e-07	Sum_LPE_Sum_PE	1
1	SORBI_3001G204300	7.810444e-06	Sum_LPE_Sum_PE	1
1	SORBI_3001G214300	2.366884e-07	Sum_LPE_Sum_PE	1
1	SORBI_3001G214400	2.366884e-07	Sum_LPE_Sum_PE	1
1	SORBI_3001G214600	2.366884e-07	Sum_LPE_Sum_PE	1
1	SORBI_3001G243200	3.998526e-06	Sum_LPE_Sum_PE	1
1	SORBI_3001G243300	3.998526e-06	Sum_LPE_Sum_PE	1
1	SORBI_3001G259600	2.90393e-06	Sum_LPE_Sum_PE	1
1	SORBI_3001G259700	2.90393e-06	Sum_LPE_Sum_PE	1
1	SORBI_3001G260850	5.282675e-06	Sum_LPE_Sum_PE	1
1	SORBI_3001G260900	5.282675e-06	Sum_LPE_Sum_PE	1
1	SORBI_3001G261460	8.070154e-18	Sum_LPE_Sum_PE	1
1	SORBI_3001G261464	8.070154e-18	Sum_LPE_Sum_PE	1
1	SORBI_3001G261750	8.924715e-12	Sum_LPE_Sum_PE	1
1	SORBI_3001G261800	8.924715e-12	Sum_LPE_Sum_PE	1
1	SORBI_3001G261900	8.924715e-12	Sum_LPE_Sum_PE	1
1	SORBI_3001G262950	8.906107e-07	Sum_LPE_Sum_PE	1
1	SORBI_3001G265400	1.128942e-07	Sum_LPE_Sum_PE	1
1	SORBI_3001G267100	3.830932e-06	Sum_LPE_Sum_PE	1
1	SORBI_3001G273600	1.796974e-09	Sum_LPE_Sum_PE	1
1	SORBI_3001G298100	9.755068e-07	Sum_LPE_Sum_PE	1
1	SORBI_3001G298200	9.755068e-07	Sum_LPE_Sum_PE	1
1	SORBI_3001G298300	9.755068e-07	Sum_LPE_Sum_PE	1
1	SORBI_3001G333500	2.696994e-09	Sum_LPE_Sum_PE	1
1	SORBI_3001G333600	2.696994e-09	Sum_LPE_Sum_PE	1
1	SORBI_3001G333700	2.696994e-09	Sum_LPE_Sum_PE	1
1	SORBI_3001G333800	2.696994e-09	Sum_LPE_Sum_PE	1
1	SORBI_3001G333900	2.696994e-09	Sum_LPE_Sum_PE	1
1	SORBI_3001G373800	1.637421e-07	Sum_LPE_Sum_PE	1
1	SORBI_3001G373900	1.637421e-07	Sum_LPE_Sum_PE	1
1	SORBI_3001G382500	1.957583e-06	Sum_LPE_Sum_PE	1
1	SORBI_3001G382600	1.957583e-06	Sum_LPE_Sum_PE	1
1	SORBI_3001G382700	1.957583e-06	Sum_LPE_Sum_PE	1
1	SORBI_3001G385800	9.718587e-06	Sum_LPE_Sum_PE	1
1	SORBI_3001G385900	9.718587e-06	Sum_LPE_Sum_PE	1
1	SORBI_3001G388000	3.120279e-06	Sum_LPE_Sum_PE	1
1	SORBI_3001G388100	3.120279e-06	Sum_LPE_Sum_PE	1
1	SORBI_3001G388200	3.120279e-06	Sum_LPE_Sum_PE	1
1	SORBI_3001G388250	3.120279e-06	Sum_LPE_Sum_PE	1
1	SORBI_3001G388300	3.120279e-06	Sum_LPE_Sum_PE	1
1	SORBI_3001G388400	3.120279e-06	Sum_LPE_Sum_PE	1
1	SORBI_3001G388500	3.120279e-06	Sum_LPE_Sum_PE	1
1	SORBI_3001G390200	1.871778e-06	Sum_LPE_Sum_PE	1
1	SORBI_3001G390300	1.871778e-06	Sum_LPE_Sum_PE	1
1	SORBI_3001G390400	1.871778e-06	Sum_LPE_Sum_PE	1
1	SORBI_3001G390500	1.871778e-06	Sum_LPE_Sum_PE	1
1	SORBI_3001G391400	1.588752e-06	Sum_LPE_Sum_PE	1
1	SORBI_3001G391500	1.588752e-06	Sum_LPE_Sum_PE	1
1	SORBI_3001G451800	3.888583e-07	Sum_LPE_Sum_PE	1
1	SORBI_3001G451901	3.888583e-07	Sum_LPE_Sum_PE	1
1	SORBI_3001G452000	3.888583e-07	Sum_LPE_Sum_PE	1
