Chromosome	gene	phenotype	n_snps	best_snp	best_pvalue	phenotype_number
2	SORBI_3002G173900	PC_38_2_,TG_50_3_,TG_52_5_,TG_52_6_,TG_54_9_,TG_56_5_	3,3,5,6,5,3	SNP_55014023,SNP_55018719,SNP_55018719,SNP_54996595,SNP_55018719,SNP_55019069	6.426024e-08,6.846689e-09,3.590573e-08,6.203074e-16,7.834272e-09,3.878045e-18	6
2	SORBI_3002G174000	PC_38_2_,TG_50_3_,TG_52_5_,TG_52_6_,TG_54_9_,TG_56_5_	2,3,6,5,7,3	SNP_55018783,SNP_55018719,SNP_55018719,SNP_55018719,SNP_55018719,SNP_55019069	6.426024e-08,6.846689e-09,3.590573e-08,6.203074e-16,7.834272e-09,3.878045e-18	6
2	SORBI_3002G374500	TG_50_2_,TG_50_3_,TG_56_5_,TG_60_4_,TG_60_5_,TG_60_6_	4,6,7,5,5,8	SNP_73239333,SNP_73239333,SNP_73239091,SNP_73221357,SNP_73221357,SNP_73239333	2.097301e-08,1.114538e-08,1.561991e-09,4.464157e-09,2.015128e-08,3.716226e-09	6
2	SORBI_3002G374600	TG_50_2_,TG_50_3_,TG_56_5_,TG_60_4_,TG_60_5_,TG_60_6_	5,7,9,5,5,9	SNP_73239333,SNP_73239333,SNP_73239091,SNP_73239333,SNP_73239333,SNP_73239333	2.097301e-08,1.114538e-08,1.561991e-09,4.464157e-09,2.015128e-08,3.716226e-09	6
2	SORBI_3002G374650	TG_50_2_,TG_50_3_,TG_56_5_,TG_60_4_,TG_60_5_,TG_60_6_	5,9,53,6,6,10	SNP_73239333,SNP_73239333,SNP_73239091,SNP_73239333,SNP_73239333,SNP_73239333	2.097301e-08,1.114538e-08,1.561991e-09,4.464157e-09,2.015128e-08,3.716226e-09	6
2	SORBI_3002G374700	TG_50_2_,TG_50_3_,TG_56_5_,TG_60_4_,TG_60_5_,TG_60_6_	4,9,58,5,5,10	SNP_73242803,SNP_73242803,SNP_73242761,SNP_73242803,SNP_73242803,SNP_73242803	2.097301e-08,1.114538e-08,1.561991e-09,4.464157e-09,2.015128e-08,3.716226e-09	6
4	SORBI_3004G137300	TG_44_1_,TG_46_1_,TG_46_2_,TG_48_1_,TG_48_2_,TG_48_3_	8,7,7,10,5,11	SNP_37593610,SNP_37593610,SNP_37593610,SNP_37590082,SNP_37594583,SNP_37581516	5.304099e-10,1.097796e-09,3.136539e-18,2.178524e-11,8.383339e-11,1.081885e-12	6
4	SORBI_3004G137400	TG_44_1_,TG_46_1_,TG_46_2_,TG_48_1_,TG_48_2_,TG_48_3_	8,7,7,10,5,11	SNP_37593610,SNP_37593610,SNP_37593610,SNP_37590082,SNP_37594583,SNP_37581516	5.304099e-10,1.097796e-09,3.136539e-18,2.178524e-11,8.383339e-11,1.081885e-12	6
5	SORBI_3005G110493	FA_22_0__amide,PC_32_3_,TG_58_5_,TG_58_6_,TG_60_5_,TG_60_6_	40,15,83,85,66,69	SNP_30942955,SNP_30944253,SNP_30941067,SNP_30942638,SNP_30944705,SNP_30942903	9.037323e-09,4.414792e-09,6.10077e-13,1.827879e-09,8.894658e-11,1.703138e-10	6
6	SORBI_3006G093500	TG_50_6_,TG_52_4_,TG_52_6_,TG_54_5_,TG_54_6_,TG_56_5_	45,12,38,22,11,26	SNP_46334164,SNP_46334742,SNP_46338288,SNP_46345632,SNP_46345632,SNP_46345694	7.052181e-08,6.56051e-08,1.038574e-10,3.705838e-09,3.745944e-09,1.298613e-15	6
