Chromosome	gene	phenotype	n_snps	best_snp	best_pvalue	phenotype_number
10	SORBI_3010G197900	PC(18:3_0:0)	39	SNP_54097376	3.495246e-08	1
10	SORBI_3010G198000	PC(18:3_0:0)	45	SNP_54101542	3.495246e-08	1
10	SORBI_3010G214300	PC(18:2_20:4)	6	SNP_55733645	2.204525e-08	1
10	SORBI_3010G214400	PC(18:2_20:4)	12	SNP_55733645	2.204525e-08	1
10	SORBI_3010G214500	PC(18:2_20:4)	16	SNP_55733645	2.204525e-08	1
10	SORBI_3010G214600	PC(18:2_20:4)	50	SNP_55733645	2.204525e-08	1
10	SORBI_3010G214700	PC(18:2_20:4)	68	SNP_55748150	5.997854e-09	1
10	SORBI_3010G214800	PC(18:2_20:4)	36	SNP_55761368	5.997854e-09	1
10	SORBI_3010G214900	PC(18:2_20:4)	30	SNP_55765622	5.997854e-09	1
10	SORBI_3010G214950	PC(18:2_20:4)	21	SNP_55768417	6.246242e-08	1
10	SORBI_3010G215000	PC(18:2_20:4)	19	SNP_55780109	7.586046e-08	1
10	SORBI_3010G215400	PC(18:2_20:4)	137	SNP_55817441	3.449847e-08	1
10	SORBI_3010G215500	PC(18:2_20:4)	111	SNP_55825899	3.449847e-08	1
10	SORBI_3010G215600	PC(18:2_20:4)	110	SNP_55829483	3.449847e-08	1
10	SORBI_3010G216901	PC(18:2_20:4)	5	SNP_56009618	1.95756e-08	1
10	SORBI_3010G217001	PC(18:2_20:4)	7	SNP_56009618	1.95756e-08	1
10	SORBI_3010G217100	PC(18:2_20:4)	9	SNP_56009618	1.95756e-08	1
10	SORBI_3010G217200	PC(18:2_20:4)	11	SNP_56009618	1.95756e-08	1
10	SORBI_3010G217400	PC(18:2_20:4)	11	SNP_56020564	1.95756e-08	1
10	SORBI_3010G217466	PC(18:2_20:4)	12	SNP_56026101	2.250073e-08	1
10	SORBI_3010G221200	PC(18:2_20:4)	44	SNP_56367281	6.775912e-08	1
10	SORBI_3010G221300	PC(18:2_20:4)	46	SNP_56376536	6.775912e-08	1
10	SORBI_3010G221400	PC(18:2_20:4)	128	SNP_56399557	6.90217e-09	1
10	SORBI_3010G221500	PC(18:2_20:4)	131	SNP_56403590	6.90217e-09	1
10	SORBI_3010G221600	PC(18:2_20:4)	85	SNP_56412941	3.330232e-09	1
10	SORBI_3010G221700	PC(18:2_20:4)	57	SNP_56416727	3.330232e-09	1
10	SORBI_3010G221800	PC(18:2_20:4)	55	SNP_56421200	3.330232e-09	1
10	SORBI_3010G221900	PC(18:2_20:4)	79	SNP_56426543	5.933115e-10	1
10	SORBI_3010G222000	PC(18:2_20:4)	117	SNP_56432096	5.933115e-10	1
10	SORBI_3010G222050	PC(18:2_20:4)	302	SNP_56436832	5.080883e-10	1
10	SORBI_3010G222100	PC(18:2_20:4)	228	SNP_56436832	5.933115e-10	1
10	SORBI_3010G222200	PC(18:2_20:4)	274	SNP_56446431	5.080883e-10	1
10	SORBI_3010G222300	PC(18:2_20:4)	296	SNP_56451989	5.080883e-10	1
10	SORBI_3010G222400	PC(18:2_20:4)	269	SNP_56455303	5.080883e-10	1
10	SORBI_3010G222501	PC(18:2_20:4)	235	SNP_56458733	5.080883e-10	1
10	SORBI_3010G222600	PC(18:2_20:4)	170	SNP_56462008	5.080883e-10	1
10	SORBI_3010G222666	PC(18:2_20:4)	56	SNP_56470367	2.696135e-08	1
10	SORBI_3010G223800	PC(18:2_20:4)	11	SNP_56546471	1.01585e-08	1
10	SORBI_3010G223900	PC(18:2_20:4)	11	SNP_56556567	1.01585e-08	1
10	SORBI_3010G224000	PC(18:2_20:4)	11	SNP_56564665	1.01585e-08	1
10	SORBI_3010G224100	PC(18:2_20:4)	4	SNP_56571647	7.951435e-08	1
10	SORBI_3010G224200	PC(18:2_20:4)	1	SNP_56584673	7.951435e-08	1
10	SORBI_3010G227800	PC(18:2_20:4)	6	SNP_57062033	1.109401e-08	1
10	SORBI_3010G227900	PC(18:2_20:4)	6	SNP_57081713	1.109401e-08	1
10	SORBI_3010G227950	PC(18:2_20:4)	18	SNP_57081713	1.109401e-08	1
10	SORBI_3010G228000	PC(18:2_20:4)	13	SNP_57093981	1.44659e-08	1
10	SORBI_3010G279450	PC(18:0_20:3)	4	SNP_61166201	1.675529e-11	1
