,DG(12:0_12:0),DG(16:0_18:1),DG(16:0_18:2),DG(16:0_18:3),DG(16:1_18:3),DG(18:1_18:1),DG(18:1_18:2),DG(18:1_18:3),DG(18:1_2:0),DG(18:2_18:2),DG(18:2_18:3),DG(18:3_18:3),DGDG(16:0_18:1),DGDG(16:0_18:2),DGDG(16:0_18:3),DGDG(18:0_18:2),DGDG(18:0_18:3),DGDG(18:2_18:3),DGDG(18:2_18:4),MG(12:0),MG(16:0),MG(18:1),MG(18:2),MG(18:3),MGDG(16:0_18:1),MGDG(16:0_18:3),MGDG(18:2_18:2),MGDG(18:2_18:3),MGDG(18:3_18:3),SQDG(16:0_14:0),SQDG(16:0_16:0),SQDG(16:0_18:1),SQDG(16:0_18:2),SQDG(16:0_18:3),SQDG(16:1_18:3),SQDG(18:0_18:3),SQDG(18:1_18:3),SQDG(18:2_18:3),SQDG(18:3_18:3),TG(10:0_10:0_10:0),TG(10:0_12:0_14:0),TG(10:0_12:0_16:0),TG(10:0_14:0_16:0),TG(10:0_16:0_16:0),TG(12:0_12:0_12:0),TG(12:0_12:0_14:0),TG(12:0_12:0_18:1),TG(12:0_14:0_16:0),TG(12:0_14:0_18:1),TG(12:0_16:0_16:0),TG(12:0_16:0_18:1),TG(12:0_16:0_18:3),TG(12:0_18:1_18:3),TG(12:0_18:2_18:3),TG(14:0_14:0_16:1),TG(14:0_14:0_18:0),TG(14:0_16:0_18:1),TG(14:0_18:1_18:2),TG(14:0_18:1_18:3),TG(14:0_18:2_18:3),TG(14:0_18:3_18:3),TG(16:0_16:0_16:0),TG(16:0_16:0_18:1),TG(16:0_16:0_20:1),TG(16:0_18:0_18:2),TG(16:0_18:1_18:2),TG(16:0_18:1_18:3),TG(16:0_18:1_20:0),TG(16:0_18:1_20:2),TG(16:0_18:1_22:0),TG(16:0_18:2_18:3),TG(16:0_18:3_18:3),TG(16:1_16:1_22:5),TG(16:1_20:1_20:2),TG(18:0_18:2_18:2),TG(18:0_18:2_20:1),TG(18:0_18:2_22:0),TG(18:1_18:1_20:3),TG(18:1_18:2_18:2),TG(18:1_18:2_18:3),TG(18:1_18:3_22:0),TG(18:1_20:3_22:0),TG(18:2_18:2_18:4),TG(18:2_18:2_22:1),TG(18:2_18:3_20:3),TG(18:2_20:2_22:2),TG(18:2_20:3_22:0),TG(18:3_18:3_18:3),DG(18:0_18:2),LPC(16:0),LPC(18:3),LPE(16:0),PA(16:0_18:2),PC(14:0_14:0),PC(14:0_18:0),PC(14:0_18:2),PC(14:0_18:3),PC(14:0_22:5),PC(14:0_22:6),PC(16:0_16:0),PC(16:0_18:0),PC(16:0_18:1),PC(16:0_18:2),PC(16:0_18:3),PC(16:0_20:3),PC(16:0_20:4),PC(16:0_20:5),PC(16:0_22:5),PC(16:0_22:6),PC(16:1_16:1),PC(16:1_18:2),PC(18:0_18:1),PC(18:0_18:2),PC(18:0_18:3),PC(18:0_20:2),PC(18:0_20:3),PC(18:0_20:4),PC(18:1_16:0),PC(18:1_18:1),PC(18:1_18:2),PC(18:1_20:1),PC(18:1_20:4),PC(18:1_24:1),PC(18:2_20:0),PE(12:0_12:0),PE(14:0_22:6),PE(16:0_18:0),PE(16:0_18:1),PE(16:0_18:2),PE(16:0_18:3),PE(16:0_20:4),PE(16:0_20:5),PE(18:0_18:2),PE(18:2_18:2),PE(18:2_18:3),PE(18:3_18:3),PG(16:0_16:0),PG(16:0_18:1),PS(18:0_18:2)
PI576332_control,2854692.377,1370295.085,3646576.41,1559145.283,54295.14205,592351.6947,253471.7537,1223377.163,283716.5614,1666295.816,1039136.781,54104082.23,469248.7648,1174972.581,17142179.48,223700.905,2549439.272,590380.455,41190431.46,922642.7892,589919.7623,1184703.25,240205.9419,3537086.329,64528.79451,9458005.697,3321038.94,9530072.771,147786701.4,18918.47401,1828271.916,88303.56483,232854.1315,6208662.354,52235.15383,287677.1537,158530.0923,389462.2573,3429910.654,11051.37915,127919.0045,66810.78765,75041.96739,26623.05277,191974.317,133621.6071,5311.959743,101695.3517,6117.935638,9919.402703,35993.16323,15169.74018,10870.14392,37869.20358,12235.87231,25833.27077,58404.2711,137732.9027,18465.08018,19449.97553,9334.434877,2503877.49,112999.257,63750.48157,335583.9011,489434.745,804532.021,18285.33042,250678.979,13729.43186,1010543.254,607970.76,3033546.465,13925.5112,362209.3948,5661.650323,4408.405509,11280.78903,340963.304,748677.3358,2009.469705,3706.880888,945372.048,2510.200808,7317.318029,2595.02299,6935.105667,357657.8589,136431.3624,332313.8119,114369.9849,27395.23459,36951.25237,50888.21725,480305.7093,42613.71728,22988.96954,255590.3249,1876406.081,263869.3124,18220483.81,13304748.05,47474925.25,10406157.66,2809046.168,10126591.45,9925873.146,44294.07361,164077.2779,76053.62498,135823.0815,150989.2042,2692815.172,507252.0934,83257.25251,113006.2865,63439.14357,7522632.843,932969.3007,1184224.634,92341.1559,82651.44663,135192.9599,67622.25182,333679.1162,101241.0921,45127.53488,3229916.154,14889257.33,1492949.3,3710678.675,1062025.958,305925.9731,2648420.574,1095744.283,728597.7259,711253.0995,1263431.57,17867.36582
PI576333_control,2494989.798,862661.405,2657640.113,1552531.144,39483.68963,456761.6447,166248.7807,929359.5886,216422.875,1133640.307,995668.7528,50184445.61,356086.4542,991285.4023,14744338.74,250599.1732,2664516.644,524653.0564,40309961.34,677839.081,532274.5743,913523.3128,207180.1324,3128351.777,28405.8823,7273982.758,2216430.417,5832200.174,139076818.1,13931.04921,1833882.265,59438.88497,166799.6902,5988761.607,46424.13666,340920.0845,128156.7179,323837.879,3258061.776,8302.414068,106714.5334,60416.8961,66433.05764,21990.684,156768.5782,120833.7877,2613.922972,88416.06846,2610.661474,11359.73703,24189.63409,15345.90323,3880.050367,27924.22402,5221.322911,26592.44028,25529.00623,216320.0283,23693.09762,19738.4292,8746.906034,2187388.651,85362.00559,48351.62292,291483.3772,780491.819,948508.5974,18445.88077,169781.5947,34807.14922,1832412.545,1545584.796,5690849.667,29789.75383,374877.4992,8918.835942,5157.619307,41718.40058,528404.1289,1055924.378,5298.52112,6012.601178,2765335.121,5431.455623,22103.62378,8107.155035,12923.83003,1225536.815,90436.2589,328224.376,158429.6858,37003.71336,38896.65384,11074.31398,637575.2201,51838.08381,55825.04851,282702.1471,4001701.628,365099.587,15000581.94,8790244.096,37929449.8,10916382.49,2507822.083,10909527.47,16849807.99,46777.82597,146255.7016,82065.56058,259916.1667,264727.2839,4200461.943,745894.9849,126925.6248,93579.56967,73717.03293,5403758.88,1463013.328,793030.1977,152136.7086,110095.4458,143904.2263,105453.5913,266429.0263,213251.375,53031.52588,3287794.543,16312154.64,2291013.058,4370384.002,1538024.874,416883.9365,2832799.478,1604980.625,798461.8773,659518.0775,1182663.86,53333.65246
PI576337_control,3943896.835,2002886.272,5641280.556,1964496.293,49287.91107,845560.1289,341195.5029,1673069.471,406364.7902,2276668.991,1081133.547,57784552.5,1266476.918,2422694.816,25457386.98,464338.9554,3294608.869,1011433.118,46691482.6,1662120.608,811034.6104,1691120.779,315514.9272,3962218.698,137363.583,17230939.15,6153669.448,14200873.48,164161148,36568.58002,3358778.72,172048.7437,318971.5782,10361359.11,83648.88393,402048.0148,261826.0817,574658.5309,5285483.734,37354.27381,237741.9067,134799.1275,166540.0442,43581.07137,382075.3467,269598.2548,16719.21615,210186.5254,15516.66068,28322.67022,28002.6473,7961.954233,8901.446108,23596.19905,31033.32104,35881.0188,42509.46125,170813.5347,24938.33573,13545.07549,5613.762973,3562141.532,126403.3095,59449.61575,304037.2167,439084.6912,736525.6727,34129.85308,194588.0912,13672.3113,898263.9641,576237.5111,2137032.655,11101.17167,295578.5283,7937.931722,5940.699646,13421.85969,339127.2724,646100.8122,2792.978637,3801.939258,616564.1319,2484.698239,8177.959008,2630.542512,5788.026082,271105.3702,188246.8904,399648.7336,181275.6369,43196.4963,101380.2065,46891.35041,727778.2714,52895.94172,40277.17162,205818.1933,2621410.815,403755.2677,29664888.72,10581691.06,79397443.9,12168430.05,3527396.25,13928503.54,18715722.61,62384.97942,259501.1456,85235.27031,168896.8949,220207.378,5898240.857,800634.6391,141338.7815,228120.3511,115212.2154,5812482.896,2014177.432,829411.2025,151165.1888,110844.8871,191813.101,116925.3299,602489.6849,127454.5828,80964.11562,4891216.456,24479384.34,1817156.606,5610844.944,1331894.049,449883.1415,4275107.247,1375955.484,784627.1828,1100210.599,2254075.265,52410.08073
PI576339_control,2366184.97,731753.3561,2349416.668,1013041.134,19374.30715,429936.2871,202074.0679,726485.5244,196898.9005,918421.2259,617687.7365,43084492.59,309631.7749,776171.2975,12212805.71,199555.3956,2021754.797,422715.8753,31974603.39,576498.5181,428471.3082,859872.6233,149073.4958,2704293.23,30462.84277,6323076.344,2205950.857,6222078.99,124058988.7,12848.88633,1307204.432,47638.04372,188610.3407,4284083.872,25144.56776,219561.9104,107139.8697,263598.1388,2330351.337,5272.394589,59587.15359,32242.89303,33756.10106,13316.48002,88818.89303,64485.78725,3665.946758,47085.72673,1702.354786,7246.271413,17124.4574,7079.429448,7607.367101,13382.76026,3404.709673,14017.44045,16551.64682,107463.5585,15360.65077,11824.66194,4149.050831,1795719.571,84521.0062,45418.8529,265155.2888,426899.1822,648820.9245,16568.02786,150249.0834,34515.27174,748871.5012,460967.4963,2295683.224,14273.8616,287381.4476,4637.310639,3476.422477,13364.05194,306006.5105,600960.7887,4316.095306,5800.222369,655645.3884,2515.565781,4492.064422,2366.708331,7226.062062,247812.138,84086.42021,197979.6856,62755.7035,16488.51858,47268.93364,6455.356286,440040.2028,27609.92808,13449.18365,277071.6786,1120984.734,287567.5457,17900517.33,8740863.371,42302994.53,6654671.678,1725044.534,5606793.113,5555439.055,24112.95243,113400.5014,43714.05269,370966.9408,190190.2534,2652433.431,515212.1236,109616.0084,64168.07832,37779.88854,5209450.863,902059.4714,443596.9738,116325.0426,41320.5898,84253.55593,85142.68471,212717.4972,72387.54385,61124.59673,2615755.737,10979514.65,1179018.248,2937873.063,794232.1423,347580.2921,2142859.606,815667.9877,574523.1799,511723.9252,843277.9663,9998.665589
PI576340_control,2798372.1,835054.1817,2304663.751,1067862.35,40174.1492,476590.8864,178434.7302,775293.7068,219572.3019,1036846.446,638136.2063,46423703.18,390938.4406,826960.8886,12301185.7,180205.5155,1701377.294,428130.6935,33176537.72,699558.4106,431925.6611,953181.7358,165156.67,3011321.726,43814.76358,6392730.664,2688252.933,6037009.942,128355052.1,14424.75422,1631915.423,54721.28957,203358.397,4912251.234,36534.50691,229702.8066,137922.5153,305262.2134,2818024.055,5115.159238,45534.49678,25940.88298,33044.30862,9398.525427,74994.4664,51881.7684,3007.766216,42426.77181,2670.061075,5533.302019,13369.7871,11499.70248,5016.735726,24592.57434,5340.121668,12312.12559,13151.30572,83299.39133,10695.36715,13669.98822,12134.93245,1675553.452,51050.0784,27799.3607,139088.1251,292779.2985,411217.0103,10345.71126,83766.98166,9058.631654,630391.6531,493130.8567,2172310.479,7962.333471,150341.4094,2558.885154,2092.697371,11098.83078,166560.7641,474567.8599,1458.290809,2389.304775,685043.6666,2069.088261,6625.749303,2611.677851,5045.901676,287349.7318,70886.41355,368967.916,219143.9974,41160.14825,70547.752,10133.21351,307049.3682,24823.40409,17483.45719,186755.2374,1211797.178,172111.7952,11280129.81,7049010.412,28849591.81,8112195.157,2050925.201,5874764.383,6550287.527,27763.84911,105666.9728,47836.60942,105876.1895,102726.6957,1986551.325,386797.5012,65580.9678,67615.15417,31539.29897,4156771.11,683786.8103,790007.768,75331.3294,50274.86301,57478.43385,61475.71896,271616.1945,74100.79337,61094.01155,2083830.945,10202938.57,975106.2427,2422538.264,709485.7921,209348.3999,1711861.72,738327.8403,599782.82,485240.7429,786932.2198,15679.45323
PI576345_control,2481101.218,985602.0778,3610630.24,1575578.013,47049.30446,538349.9718,232029.7146,1202217.708,245075.7636,1524567.021,963528.7665,38721642.17,336959.6145,869477.7494,16665733.95,174636.7609,2096351.819,564808.4757,41743997.19,677960.3894,601107.1687,1076699.741,259708.1367,3698892.255,58968.40922,8824903.286,3414957.615,8670566.705,156892792.5,11369.70013,2202194.692,84340.16064,252440.3703,6750271.31,48182.20079,287141.3563,194856.6453,432706.4086,4082524.336,7896.628548,81999.83369,41482.41711,49418.70989,15784.09172,125089.7245,82964.83327,3460.923409,65211.14436,3780.782775,10230.11411,28460.06493,7444.23962,4772.744705,18976.55785,7561.566015,18958.33027,19194.91342,146913.9884,13216.70816,13529.80694,8681.416915,2216391.533,80493.44357,40944.45505,226460.4579,388219.3979,605724.2156,14988.78938,134790.3614,10659.03736,908323.7252,701669.6761,2579914.643,15276.67548,218199.888,2873.06281,3322.811691,14141.54442,222799.6561,623401.4343,2045.084532,4237.055449,758986.9511,5341.506261,6563.430521,3280.779761,7612.070433,293746.1981,67737.0538,358971.1924,92721.06168,40961.07614,105412.5309,17355.76182,494562.9105,32242.37656,17662.38677,130206.3776,1815201.95,283691.0213,21973934.66,13123157.16,59257919.64,10198191.06,2645712.837,8682586.139,9933093.894,26723.72045,152919.0043,53469.1057,202583.7256,133218.8533,1707658.885,533477.4937,74164.72699,75979.52247,39077.92951,8394624.304,591357.4036,1202098.706,98832.48495,48770.90982,79255.98204,89644.4743,267169.7815,126528.1798,50477.82428,3244627.177,15213554.67,1554553.641,3889982.91,1178171.827,230811.6128,2712709.713,1228491.222,776589.8877,621285.0496,1113345.131,12518.62762
PI576347_control,3292042.692,1727805.428,3867681.159,2031225.626,52179.14637,672547.597,261785.8654,1069031.625,314122.2974,1462144.963,1043947.54,55450460.36,586062.2651,1197270.943,19382424.44,230428.0323,2867442.661,674063.269,40038009.25,1099275.63,1024179.619,1345095.013,310916.8285,4101534.932,110250.44,10566170.08,4306639.687,9915293.472,151961640.4,24762.93612,2656259.952,115560.8484,228107.9149,7468996.018,56998.19814,346080.5141,175346.0985,383919.553,3668966.559,13087.79989,128314.0087,74047.39102,78182.57939,23578.27526,188462.865,148094.78,5845.805103,101821.9956,6071.38747,13506.52503,30076.25676,13255.74771,7232.402669,27322.12725,12142.77462,28987.58498,27152.82125,132675.5131,21141.33571,20159.22305,21054.39197,2594331.339,79222.85597,43286.53223,196492.2586,410437.6367,648019.6089,18885.55865,133921.5033,12440.57355,1084511.433,996551.4156,3663511.987,7416.085162,217302.1242,4590.888088,3383.824463,10211.00624,321093.5163,816610.5143,2136.859618,3461.851104,1799253.792,2697.865793,13308.55205,4070.023301,6301.906871,1053908.245,108532.397,549648.1041,316106.9524,44788.33213,120846.0439,19186.05593,566638.2635,34555.92157,68283.72464,300005.0343,2696135.175,319271.3824,19803699.68,13292089.19,52777044.22,7940685.214,2722772.565,9018456.815,12108981.96,40089.72674,183095.8811,80293.35871,113120.1385,173516.2982,2887095.573,654104.5159,87926.83407,112478.3436,44843.36478,7744843.4,992232.0918,667298.2887,115490.2909,70492.85799,71186.27993,92570.66357,423251.0073,166861.4713,89991.81574,2970957.497,15336490.94,1794305.661,3463084.76,1137671.494,285968.5843,2321044.977,1208793.567,803734.255,670446.2965,1455402.601,21558.75079
PI576348_control,2943361.071,1245172.157,3488963.957,2253500.244,84848.69854,564872.3053,224290.3465,983188.9878,261692.9858,1303135.288,992768.5128,56316166.07,480888.1087,1076836.905,17092762.06,249872.4312,2996077.833,546791.8021,40493241.1,874077.0568,713725.2675,1129744.422,317111.0551,3825127.684,70811.47832,9821787.287,3474668.079,7934860.174,152373830.2,13548.77576,2127021.706,81315.10137,168581.7085,6922039.597,46589.19438,387190.86,157928.8835,347632.0548,3760397.883,6899.572843,54950.21445,33519.84531,42416.37447,12440.51102,87830.10301,67039.69658,3262.083509,54839.64757,2857.774125,8992.863934,22276.77387,24719.24308,7114.714956,35896.68399,5715.547602,20156.53335,17497.91324,219241.3718,15910.50007,22632.15922,29822.91045,2485260.731,81045.48082,47851.40772,232745.0196,473174.0064,733392.4183,19016.95401,143893.7037,12125.93401,1459959.125,1505289.83,3296710.935,12843.29816,257866.7917,3507.595333,2994.714898,18278.77065,356774.851,664319.7455,1896.789712,3273.9871,1432692.35,2605.424685,9267.955044,5185.041737,7069.639172,823005.5122,100363.694,491454.4786,195118.5575,29699.84,59673.62791,20948.85568,302390.2274,29373.50568,27843.57493,218598.8718,1891179.025,166886.0905,16042786.25,9541109.584,42231074.51,10941310.44,2036494.044,6063837.458,8464970.571,35255.79283,121527.7462,57523.3904,179691.8462,158254.7287,2791409.226,659553.9876,90648.51877,77242.959,36553.94786,5557822.663,957800.5413,395172.4487,98519.13266,63113.42475,51642.46901,77229.18592,342730.13,123495.306,86906.29091,2471800.326,13104770.9,1652078.865,2933895.134,964185.6507,275754.9769,1969619.331,1009627.278,742438.2244,565860.484,1071522.403,27545.28567
PI576349_control,3866701.668,1823986.794,4278397.991,1421148.456,42405.54842,761480.028,394197.0538,1649497.21,357727.2758,2200400.22,976138.5849,56138364.06,835384.9181,1889935.312,18477209.73,433497.6845,2617178.586,789742.5083,41757504.92,1375774.492,602605.2621,1522959.871,240278.6315,3901143.676,92603.62778,10437887.33,4829975.602,10585955.15,156907594.3,18491.60696,2218297.488,128121.0673,286393.1693,6551521.808,56060.37751,295429.6431,223407.4988,435697.1621,3641833.804,13736.35355,149618.1168,82523.14898,89248.44387,25172.24794,227671.1369,165046.3139,7208.484686,114468.0951,6899.640678,15349.5467,17496.32572,7618.008028,9376.684441,17148.40025,13799.28205,22168.52381,26833.57728,127685.0814,23193.48503,14177.50634,5848.103805,2643847.641,86921.46606,39400.83845,257714.3943,725791.1837,987246.387,13461.69309,164988.1857,12159.29485,1093145.127,603720.4105,4317085.16,29610.34755,330397.4644,7621.577908,3202.000454,38201.91013,372433.8063,1505284.927,3283.800374,5609.384549,1060879.346,2406.875442,11662.06399,2795.863183,7976.720645,339712.7905,157181.0569,358029.8557,145101.6019,28245.40245,79547.33263,31078.12603,645393.2712,51668.62851,27253.72317,197373.0016,1872980.612,366473.8176,23866033.66,12275519.41,62202604.82,10150639.53,3327429.054,13628760.78,13008262.46,57539.48148,288817.6735,106584.8261,71092.50846,181682.3459,4144051.827,584952.2231,120488.3679,171696.093,62539.50792,7081463.841,1437207.522,724004.0365,127211.3587,112875.1336,140655.337,99748.54037,506969.5256,80513.32778,71326.55554,3777738.069,20250743.36,1319644.732,4051619.126,935992.5894,411650.7938,3113953.22,966424.6025,711055.0799,804304.8564,1653850.183,36401.73035
PI576350_control,2205782.928,801855.6961,2524626.072,1515835.307,27252.56953,335163.0756,165586.7965,759865.2153,152852.2071,984602.9631,812637.6894,47042840.81,445227.825,987403.6821,14033265.64,232792.2891,2442191.006,493087.4486,33541596.61,540382.2916,498853.049,670326.1542,168360.4864,2948904.406,38345.91036,7639982.507,2564305.151,5833457.117,136125550,14892.33479,1834375.414,67570.90049,202540.3053,5038083.258,32081.01717,291831.7135,117581.7464,266347.2012,2500572.767,12274.00565,81380.34538,45583.81154,51555.95985,12627.92073,126044.3546,91167.62781,5830.148908,64144.74286,3087.699942,12472.48439,19766.31796,7661.286222,4146.566736,18442.42123,6175.398965,12505.42599,37663.24799,241970.1058,15282.31391,13543.84401,11581.12419,1908418.7,78491.54562,43984.23339,229867.1225,449433.5271,545303.8038,19973.62925,118394.2126,31284.82592,1046788.409,1160894.128,2368020.218,8973.67263,209962.6812,5793.520694,3979.19513,18080.62195,280178.3239,496406.4771,1933.281317,4144.455478,991754.1109,5078.166931,9676.497047,8677.246265,10329.94248,565592.9652,77992.95143,237380.2522,96714.12161,20518.98374,50737.05715,9002.606935,308229.0051,20469.24692,28430.69264,199861.7938,1626966.349,176072.1876,12011696.33,6803894.99,30982701.26,9145277.42,1873266.245,5079482.302,6458770.674,35451.816,79768.73706,38764.26316,184892.9992,110018.8734,1790473.384,808932.4319,81804.6761,56725.03205,27495.83536,4092053.219,615474.9745,432505.5914,89402.87601,55345.72821,44459.46404,69139.76279,226315.9475,149339.682,55110.57454,2153298.902,10525826.62,1611327.728,2713839.699,992725.7905,269286.271,1723298.5,1019998.895,698154.7218,402496.8604,739407.9165,12269.68097
PI576352_control,2628074.68,1130196.153,3283053.582,1589270.784,42453.53387,539741.8764,174908.8374,920335.0577,256734.574,1292787.444,906737.7185,54187971.78,591291.6144,1432838.944,19721497.19,255086.3091,2995345.186,641740.5519,42020801.86,796471.1101,603969.8534,1079483.761,238652.9978,3545538.909,94917.92328,10434639.83,3339805.543,9132361.98,149453318.2,31375.09703,2751773.452,112571.8727,250718.9071,8123994.893,62467.94135,384649.7179,167750.3923,388391.5862,4137931.963,9038.294956,73218.22141,33168.19382,48239.28664,13645.64868,118352.3531,66336.38964,2920.46266,61935.0892,1909.721822,8917.483152,22913.76389,7671.817926,4482.38917,16791.1966,3819.443796,18907.01397,17629.88035,130595.6366,12468.03863,10535.53962,4623.755969,2427222.18,85578.88691,52138.8984,298977.0542,405799.033,604234.9383,13387.61222,208758.6843,16611.18218,809961.8553,508494.3316,2037670.162,10367.08735,289681.3017,3679.151905,3233.363313,13434.43873,310550.8537,486385.5242,6841.822231,4076.464488,682227.9888,2316.16898,5413.774083,2422.594969,5980.146925,276662.0529,107638.0357,406902.9984,131919.9972,28842.45948,39517.55762,20548.77538,584990.1295,42926.54286,13930.93806,221568.1787,2047185.543,348017.6599,18444490.94,12985274.03,48741056.19,11097517.14,3678864.538,9140899.546,8765829.775,49995.94055,122570.2287,69967.05597,150904.2586,160159.415,2893967.904,653048.2683,118452.3233,83557.45451,58864.18219,7329554.043,998376.1291,2126239.53,146918.0615,86919.23248,94843.00037,104232.9023,296479.8706,118765.1136,67229.05033,2851214.241,14054871.52,1593612.65,3479553.066,1121013.071,285992.1363,2353872.529,1159088.087,738315.4741,632387.8416,1240653.478,21941.6331
PI576359_control,2823297.063,1272019.34,3915283.137,1465787.38,49785.07747,565205.9084,294824.1788,1247904.681,262271.3525,1662484.598,925427.8982,52950060.3,697466.6753,1601733.797,18307843.72,368350.265,2990441.679,906059.8353,42805575.17,843415.7425,913149.1753,1130412.007,283634.5781,3431734.349,93549.02934,9131908.935,5028128.038,11569531.45,152252919,19709.07971,2019137.675,106664.5611,252112.4477,6677056.08,40959.52718,354427.553,224360.7079,502390.9102,3883588.297,33851.53372,295618.4815,181597.4146,148162.1194,44657.78871,405763.3261,363194.8048,9117.001413,192854.5171,8890.023744,18923.32662,33781.23029,7749.635138,5369.727033,22579.29145,17780.0477,22779.15554,19338.75322,154264.5962,17345.5019,10527.64565,6753.696936,2202542.554,69822.79569,27842.11264,172659.9115,331406.1147,713057.9241,11519.21426,93466.89652,31758.70549,940990.7194,609216.6197,2408586.716,12370.48717,194316.2979,2932.937496,2885.264741,16046.95356,255726.451,669524.8604,2198.237217,3917.732084,679644.884,2637.450704,5133.717906,2560.574613,6378.145532,270536.1846,100850.7489,397354.6587,125733.977,42541.93597,259219.1105,10593.1558,574694.3022,43677.59121,27355.95322,255750.7575,1683072.844,319168.3846,22384353,12735035.96,59826916.42,10093229.38,3257820.59,10100409.18,9580174.742,57469.30816,252250.8519,88785.41293,139128.8321,203364.4729,3083738.621,674129.7569,126281.4157,109676.2568,57001.2372,7348879.653,1065017.876,784663.7267,142403.3941,94459.05963,138760.3032,119759.9941,331082.2424,112337.0781,56399.33669,4230158.079,19321180.44,1754841.235,4610202.266,1207890.723,354389.234,3407388.434,1248572.46,721847.433,698689.0347,1361673.992,23035.08486
PI576364_control,2584301.202,1421321.745,3560575.718,1356038.628,29379.81049,546305.4074,404922.3317,1319703.562,253684.215,1866073.384,878485.8528,56397604.65,622509.5194,1655232.176,18435092.78,372362.64,2721153.866,1172100.761,43378299.48,848958.6397,636209.8505,1092610.726,291737.2007,3771965.186,72899.2165,9295042.119,5101252.022,16019569.94,155045686.9,16520.52753,2008633.152,86884.54109,299609.907,6700364.082,58640.30593,311787.8667,226430.9185,535603.759,3842168.798,4684.672449,48024.97315,31903.08695,45071.64273,10045.05246,85130.18005,63806.17097,4065.898878,55150.52835,1687.25562,6068.58213,14868.10019,6331.336367,6788.823872,40394.46975,3374.511341,13820.72441,16429.88346,119033.6782,20836.93861,18514.12989,5568.719374,2598752.605,91111.54086,49991.40103,315300.221,953157.8326,1428822.125,13872.38931,194230.4087,50704.79217,1481696.097,672694.924,5375945.664,31166.94731,514749.6695,6884.259202,8700.094938,47957.04119,596956.909,2037674.629,7530.107539,11886.97538,1690094.725,6394.614982,15009.68178,4057.703369,12385.64767,532673.0705,119235.2771,267753.7395,62084.28635,18241.72807,76367.49612,40421.92611,492165.4741,67227.34846,38582.66947,370974.2835,1459783.382,280572.784,21009767.34,12862007.43,55632072.38,8918726.353,3275270.569,12838539.89,9432084.809,43497.85725,300182.4016,90550.53618,235374.5597,186197.2623,4159531.954,699593.4192,89755.24706,268117.0935,104381.1923,7881020.585,1439875.58,312004.6045,99052.46724,96331.72883,342740.0663,74318.01717,308675.7104,88946.26103,68315.64897,4404686.41,17608105.03,1382611.589,4730996.658,1061188.703,391795.739,3668795.491,1094354.822,713980.875,921099.2545,1337815.548,27178.30094
PI576366_control,2710033.076,1153397.957,3504480.889,1980432.07,41311.0717,517161.5247,190519.9236,974835.0938,247814.9391,1293863.802,969438.91,58346181.67,493312.3711,1340449.06,19297882.16,234029.2261,2593612.376,651404.7882,43704040.18,836211.6515,642581.08,1034322.985,234760.9145,3764380.112,60767.43896,10393761.68,3645977.61,10332877.48,155066138.5,22578.6542,2219442.045,89833.06735,269234.1316,8218148.611,49290.28235,330766.7318,188503.404,441009.0685,4345150.625,9381.509722,32588.46302,22507.24716,19669.16512,9435.593549,63441.86816,45014.4891,2139.173203,29039.54006,2207.314729,6652.02054,23132.79714,13442.23144,9189.967646,22773.42442,4414.629636,19700.93471,46767.59215,220690.9313,26770.3542,18785.25032,9537.667097,2821209.467,94864.12322,27815.6437,242778.2158,517525.0389,767198.8277,12084.35927,98511.91987,10194.38312,1117176.433,826188.5978,2399836.217,11282.38141,199831.6012,4990.897362,2506.042064,14431.47744,312437.5818,518098.78,3572.696926,4268.530398,817543.2141,3464.469503,10501.9767,3914.791007,8974.859967,336409.4076,77153.82118,544383.8424,196060.0092,61037.03145,83171.87317,31632.99586,409529.9422,23064.7809,13872.95504,269042.9886,2865685.942,239133.6011,19876092.93,14895320.9,52406975.47,13508251.57,2912235.844,8219750.679,8533593.684,64835.06477,139325.0203,71324.00597,174031.2449,140439.1355,2550433.359,715011.6918,124151.0854,50337.65089,67538.74113,8881679.893,870921.981,1265395.428,136406.6125,83427.87696,94061.70302,98695.09007,306960.9485,141239.4512,70597.41191,2785584.906,15876716.38,1869408.917,3567368.394,1226936.376,236879.105,2344294.361,1265255.226,799156.4474,843618.7326,1414048.827,19912.60996
