"Class","Species","Control_Percentage","LowInput_Percentage"
"DG","DG(18:3/18:3)","78.9","73.7"
"DG","DG(16:0/18:2)","4.7","3.9"
"DG","DG(12:0/12:0)","4.3","4.0"
"DG","DG(16:0/18:3)","2.2","5.2"
"DG","DG(18:1/2:0)","0.4","6.3"
"DG","DG(18:2/18:2)","2.0","1.5"
"DG","DG(16:0/18:1)","1.6","1.4"
"DG","DG(18:1/18:3)","1.5","1.1"
"DG","DG(18:2/18:3)","1.3","1.3"
"DG","DG(18:1/18:1)","0.8","0.7"
"DG","DG(18:1/18:2)","0.3","0.5"
"DG","DG(18:0/18:2)","0.1","0.2"
"DG","DG(16:1/18:3)","<0.1","<0.1"
"DG","DG(16:0/16:0)","1.0","NaN"
"DG","DG(16:0/18:0)","<0.1","NaN"
"DG","DG(16:0/2:0)","0.4","NaN"
"DG","DG(16:1/18:2)","NaN","<0.1"
"DG","DG(18:0/18:0)","0.4","NaN"
"DG","DG(18:0/20:3)","NaN","<0.1"
"DG","DG(8:0/8:0)","NaN","<0.1"
"DGDG","DGDG(18:2/18:4)","63.9","65.4"
"DGDG","DGDG(16:0/18:3)","27.6","24.2"
"DGDG","DGDG(18:0/18:3)","4.0","5.5"
"DGDG","DGDG(16:0/18:2)","2.1","2.2"
"DGDG","DGDG(18:2/18:3)","1.0","1.4"
"DGDG","DGDG(16:0/18:1)","0.9","0.8"
"DGDG","DGDG(18:0/18:2)","0.4","0.5"
"LPC","LPC(16:0)","73.0","62.6"
"LPC","LPC(18:3)","27.0","30.5"
"LPC","LPC(18:2)","NaN","6.9"
"LPE","LPE(16:0)","100.0","100.0"
"MG","MG(18:3)","51.8","58.2"
"MG","MG(18:1)","16.1","18.4"
"MG","MG(12:0)","12.4","14.6"
"MG","MG(16:0)","8.9","6.9"
"MG","MG(18:2)","3.4","2.0"
"MG","MG(16:1)","1.1","NaN"
"MG","MG(18:0)","6.3","NaN"
"MG","MG(20:4)","<0.1","NaN"
"MGDG","MGDG(18:3/18:3)","87.3","89.3"
"MGDG","MGDG(16:0/18:3)","5.5","4.2"
"MGDG","MGDG(18:2/18:3)","5.0","4.5"
"MGDG","MGDG(18:2/18:2)","2.1","2.0"
"MGDG","MGDG(16:0/18:1)","<0.1","<0.1"
"PC","PC(16:0/18:2)","37.9","27.7"
"PC","PC(16:0/18:0)","14.6","19.4"
"PC","PC(16:0/18:3)","8.8","8.6"
"PC","PC(16:0/18:1)","8.9","4.8"
"PC","PC(16:0/20:5)","7.5","5.7"
"PC","PC(18:1/16:0)","5.2","2.5"
"PC","PC(16:1/18:2)","0.1","7.5"
"PC","PC(16:0/20:4)","6.9","0.6"
"PC","PC(18:0/18:1)","0.1","5.8"
"PC","PC(18:0/18:2)","2.2","1.4"
"PC","PC(14:0/22:6)","1.6","1.7"
"PC","PC(16:0/20:3)","2.1","1.2"
"PC","PC(18:2/20:0)","<0.1","3.1"
"PC","PC(18:0/18:3)","0.5","1.2"
"PC","PC(18:1/18:1)","0.8","0.3"
"PC","PC(14:0/18:0)","0.4","0.5"
"PC","PC(18:1/18:2)","0.7","<0.1"
"PC","PC(16:0/16:0)","0.2","0.4"
"PC","PC(18:0/20:2)","<0.1","0.6"
"PC","PC(18:1/20:1)","<0.1","0.6"
"PC","PC(14:0/22:5)","0.2","<0.1"
"PC","PC(16:0/22:6)","0.1","<0.1"
"PC","PC(16:1/16:1)","<0.1","0.1"
"PC","PC(14:0/14:0)","<0.1","<0.1"
"PC","PC(14:0/18:2)","<0.1","<0.1"
"PC","PC(14:0/18:3)","<0.1","<0.1"
"PC","PC(16:0/22:5)","<0.1","<0.1"
"PC","PC(18:0/20:3)","<0.1","<0.1"
"PC","PC(18:0/20:4)","<0.1","<0.1"
"PC","PC(18:1/20:4)","<0.1","<0.1"
"PC","PC(18:1/24:1)","<0.1","<0.1"
"PC","PC(14:0/20:4)","<0.1","NaN"
"PC","PC(16:0/20:1)","NaN","<0.1"
"PC","PC(16:1/20:4)","NaN","5.3"
"PC","PC(16:1/20:5)","NaN","<0.1"
"PC","PC(16:2/16:1)","NaN","0.1"
"PC","PC(18:1/14:0)","<0.1","NaN"
"PC","PC(18:1/22:1)","<0.1","NaN"
"PC","PC(18:1/24:0)","<0.1","NaN"
"PC","PC(18:2/0:0)","0.1","NaN"
"PC","PC(18:2/18:2)","NaN","0.3"
"PC","PC(18:2/20:4)","NaN","<0.1"
"PC","PC(18:3/0:0)","<0.1","NaN"
"PC","PC(18:3/18:3)","NaN","<0.1"
"PC","PC(22:0/0:0)","<0.1","NaN"
"PC","PC(22:1/22:1)","<0.1","NaN"
"PE","PE(16:0/18:2)","50.3","20.7"
"PE","PE(16:0/18:3)","5.4","30.2"
"PE","PE(16:0/20:4)","12.1","7.3"
"PE","PE(18:2/18:2)","8.4","6.4"
"PE","PE(16:0/20:5)","3.7","9.5"
